Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.466277
Total NOx (mg): 48937.626
Overall NOx (mg/km): 1209.343
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.702732,19782.321,2038.840,False
medium,433,14.158317,14837.090,1047.942,False
high,455,13.170402,14045.114,1066.415,False
extra_high,323,3.434826,273.101,79.509,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 4012.83, False
2, 3348.05, False
3, 3523.25, False
4, 2645.62, False
5, 2338.64, False
6, 1794.92, False
7, 1276.06, False
8, 482.37, False
9, 251.94, False
10, 378.07, False
11, 959.94, False
12, 811.21, False
13, 918.52, False
14, 871.79, False
15, 812.56, False
16, 767.55, False
17, 736.85, False
18, 716.30, False
19, 702.28, False
20, 1716.90, False
21, 1375.98, False
22, 1517.48, False
23, 1535.92, False
24, 1538.68, False
25, 1537.99, False
26, 1536.04, False
27, 1533.46, False
28, 1530.52, False
29, 1527.37, False
30, 1524.11, False
31, 1438.83, False
32, 856.33, False
33, 764.24, False
34, 489.96, False
35, 344.39, False
36, 307.63, False
37, 305.65, False
38, 174.81, False
39, 16.61, True
40, 13.27, True
Partial (0.22 km), 12.61, True
