Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 39.917014
Total NOx (mg): 47133.231
Overall NOx (mg/km): 1180.780
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.504412,14918.195,1569.607,False
medium,433,14.124526,674.575,47.759,True
high,455,13.033715,8656.126,664.133,False
extra_high,323,3.254360,22884.334,7031.900,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 5547.92, False
2, 1868.96, False
3, 3740.38, False
4, 3102.18, False
5, 143.28, False
6, 148.57, False
7, 137.49, False
8, 107.07, False
9, 86.13, False
10, 272.68, False
11, 5.33, True
12, 12.32, True
13, 29.06, True
14, 37.19, True
15, 41.77, True
16, 38.72, True
17, 35.39, True
18, 29.83, True
19, 149.90, False
20, 9.48, True
21, 3.26, True
22, 12.69, True
23, 21.84, True
24, 26.44, True
25, 28.18, True
26, 28.84, True
27, 29.15, True
28, 29.47, True
29, 30.54, True
30, 31.29, True
31, 1016.54, False
32, 1746.75, False
33, 1901.14, False
34, 1558.44, False
35, 1194.49, False
36, 847.71, False
37, 1512.05, False
38, 8667.40, False
39, 8466.86, False
Partial (0.58 km), 7701.64, False
