#{"t_start": 1777931102.009702, "env_id": "None"}
r,l,t
1831.052065,3599,926.518529
3421.913504,3599,1860.266868
3437.799484,3599,2815.29763
3448.206576,3599,3775.241988
3436.128476,3599,4724.250368
3491.260449,3599,5662.961146
3468.796643,3599,6620.903908
3489.443307,3599,7576.135013
3487.588568,3599,8506.848971
3502.490497,3599,9432.242408
3454.010443,3599,10349.134611
3523.409351,3599,11281.642484
3487.302223,3599,12217.702907
3482.613482,3599,13142.390557
3472.203354,3599,14068.474036
3475.180598,3599,15014.467993
3480.095943,3599,15962.32082
3463.563727,3599,16900.817514
3520.059284,3599,17863.261911
3504.755117,3599,18799.772446
3511.753287,3599,19758.414773
3481.259527,3599,20693.801566
3501.806205,3599,21635.509771
3482.417004,3599,22579.274327
3455.274101,3599,23518.354461
3452.781127,3599,24493.52891
3467.546505,3599,25445.270335
3508.498914,3599,26388.22663
3492.783984,3599,27323.028404
3504.207146,3599,28262.160522
3488.05765,3599,29187.595305
3462.235217,3599,30120.566672
3472.571755,3599,31073.886203
3486.375468,3599,32016.065609
3521.304868,3599,32970.259316
3497.795331,3599,33902.045771
3498.413843,3599,34850.910408
3510.994284,3599,35799.96169
3509.975781,3599,36747.953621
3486.589825,3599,37686.033633
3502.138716,3599,38612.80583
3532.290685,3599,39557.271628
3513.785062,3599,40498.330429
3522.703441,3599,41442.234619
3472.214262,3599,42379.157568
3529.839986,3599,43320.369435
3512.000497,3599,44266.92716
3489.647596,3599,45200.668772
3515.98681,3599,46140.45405
3483.503022,3599,47081.46823
3360.576566,3599,48012.897552
3485.017171,3599,48955.050017
3480.753161,3599,49900.801522
3457.568728,3599,50831.524235
3504.266526,3599,51761.419853
