Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.882907
Total NOx (mg): 2570.083
Overall NOx (mg/km): 62.864
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.903174,611.302,61.728,True
medium,433,14.132494,1419.565,100.447,False
high,455,13.304889,169.811,12.763,True
extra_high,323,3.542350,369.406,104.283,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 531.26, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 80.04, False
6, 0.00, True
7, 0.00, True
8, 0.00, True
9, 0.00, True
10, 0.00, True
11, 461.76, False
12, 150.46, False
13, 104.31, False
14, 83.19, False
15, 71.21, True
16, 65.11, True
17, 62.59, True
18, 61.88, True
19, 61.37, True
20, 239.45, False
21, 24.04, True
22, 13.14, True
23, 11.48, True
24, 12.28, True
25, 13.54, True
26, 14.61, True
27, 15.38, True
28, 15.84, True
29, 16.06, True
30, 16.11, True
31, 22.47, True
32, 19.74, True
33, 8.66, True
34, 6.83, True
35, 6.37, True
36, 6.06, True
37, 5.74, True
38, 8.48, True
39, 9.81, True
40, 324.39, False
Partial (0.48 km), 55.35, True
