#{"t_start": 1777504010.2690396, "env_id": "None"}
r,l,t
-434.844351,3599,292.521937
235.723502,3599,934.60289
94.21612,3599,1584.057788
532.832998,3599,2252.069824
1299.397854,3599,2918.077921
1118.022775,3599,3587.017967
2904.730681,3599,4253.673871
3123.906886,3599,4920.898887
2800.894962,3599,5588.754641
3446.8326,3599,6252.777868
3437.126994,3599,6920.470413
3498.933485,3599,7588.766611
3454.399045,3599,8260.414411
2857.96054,3599,8927.098572
3411.721053,3599,9596.385852
1681.921184,3599,10263.530615
3421.005517,3599,10934.879638
3466.742892,3599,11694.874833
3233.181224,3599,12364.717863
2861.794272,3599,13029.746622
2866.813262,3599,13701.1627
3486.747147,3599,14370.035617
3478.076659,3599,15039.746269
3447.513067,3599,15705.576937
3487.099943,3599,16371.359511
3494.173705,3599,17037.79448
3497.073057,3599,17701.787914
3459.295194,3599,18368.649892
3482.819336,3599,19033.882515
3446.838523,3599,19747.985874
3475.538945,3599,20413.640244
3487.043636,3599,21077.035886
3427.653476,3599,21742.653795
3498.959918,3599,22409.482672
3505.66087,3599,23163.130851
3504.701365,3599,23831.594214
3485.302658,3599,24498.065834
3480.312606,3599,25166.457958
3481.747483,3599,25833.813848
3453.219259,3599,26502.951883
3479.484261,3599,27170.575862
3452.793107,3599,27840.923062
3454.874921,3599,28513.302459
3449.881924,3599,29185.915342
3450.949154,3599,29856.568235
3486.561571,3599,30527.71386
3475.60527,3599,31201.177894
3398.66156,3599,31875.070362
3394.751028,3599,32546.138524
3429.006192,3599,33219.731028
3519.238331,3599,33893.038567
3501.040705,3599,34567.461841
3490.055963,3599,35331.266983
3449.121453,3599,36009.861834
3427.57493,3599,36685.362465
3165.91314,3599,37360.575511
3478.897401,3599,38035.327022
3464.63032,3599,38709.790883
3491.301003,3599,39383.680203
3514.098288,3599,40055.795083
3497.157334,3599,40732.927513
3494.219134,3599,41412.166542
3498.367454,3599,42088.950078
3473.98621,3599,42768.041816
3496.123713,3599,43446.379848
3488.399815,3599,44124.78581
3479.449376,3599,44804.527281
3510.551332,3599,45485.825853
3410.332098,3599,46163.701849
3475.344943,3599,46931.878213
3424.415111,3599,47609.564749
3484.714611,3599,48289.702214
3492.317002,3599,48967.445873
3471.084719,3599,49644.275549
3465.695388,3599,50323.721256
3483.629069,3599,51002.958976
3480.48323,3599,51678.865802
3393.854995,3599,52361.426183
3447.892002,3599,53041.397812
2618.861618,3599,53721.705863
3454.518253,3599,54400.470386
3467.18459,3599,55082.289896
3516.728313,3599,55762.969952
3497.409778,3599,56445.024006
3507.461385,3599,57133.674791
3521.231846,3599,57818.417897
3486.36978,3599,58583.556549
3518.231917,3599,59392.20869
3518.904128,3599,60256.966514
3490.614731,3599,61116.59519
3488.050352,3599,61944.283821
3516.255424,3599,62715.773974
3475.274866,3599,63482.202966
3487.971261,3599,64253.74293
3477.948322,3599,65029.894421
3431.766629,3599,65800.698015
3474.37545,3599,66579.937197
3493.610166,3599,67348.698034
3515.352195,3599,68117.590925
3428.816457,3599,68888.542644
3489.950261,3599,69658.909996
3520.863813,3599,70431.882077
3487.46673,3599,71207.814014
3451.387137,3599,71980.095888
3470.965636,3599,72840.418482
3485.359947,3599,73614.769979
3477.414556,3599,74387.455897
3498.596497,3599,75160.515079
3449.445947,3599,75935.574788
3477.601786,3599,76710.18204
3538.958115,3599,77481.894307
3477.699817,3599,78261.401998
3528.744013,3599,79038.02298
3509.791015,3599,79813.046384
3492.730854,3599,80586.946734
3509.908808,3599,81367.698466
3477.483439,3599,82144.41803
3525.575343,3599,82922.988136
3478.4476,3599,83703.382922
3504.606052,3599,84479.34274
3436.059814,3599,85257.785906
3481.597511,3599,86132.138185
3479.598434,3599,86909.242923
3495.771793,3599,87689.542936
3482.396693,3599,88472.243747
3498.068472,3599,89251.548375
3482.735632,3599,90035.930427
3499.688664,3599,90790.380628
3481.864129,3599,91545.134737
3536.800655,3599,92300.316694
3468.090221,3599,93054.827994
3508.143336,3599,93807.462134
3498.722412,3599,94565.582506
3488.560616,3599,95320.675752
3505.993223,3599,96075.952069
3494.882994,3599,96834.953932
3499.846789,3599,97595.780588
3476.160257,3599,98357.763778
