Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 39.918644
Total NOx (mg): 3875.687
Overall NOx (mg/km): 97.090
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.444676,1900.501,201.225,False
medium,433,14.015815,1205.769,86.029,False
high,455,13.095993,577.122,44.069,True
extra_high,323,3.362160,192.295,57.194,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1108.70, False
2, 202.50, False
3, 114.28, False
4, 136.15, False
5, 60.16, True
6, 56.04, True
7, 56.85, True
8, 63.62, True
9, 71.21, True
10, 259.78, False
11, 41.73, True
12, 60.59, True
13, 90.89, False
14, 99.10, False
15, 90.15, False
16, 78.92, True
17, 66.28, True
18, 50.13, True
19, 188.40, False
20, 71.24, True
21, 34.97, True
22, 40.46, True
23, 47.49, True
24, 52.12, True
25, 54.85, True
26, 56.10, True
27, 55.44, True
28, 52.53, True
29, 47.05, True
30, 39.58, True
31, 53.69, True
32, 31.76, True
33, 34.15, True
34, 34.88, True
35, 35.03, True
36, 34.96, True
37, 52.51, True
38, 79.82, True
39, 46.62, True
Partial (0.69 km), 36.32, True
