Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.675752
Total NOx (mg): 73418.111
Overall NOx (mg/km): 1804.960
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.719687,48095.125,4948.218,False
medium,433,14.439125,10586.946,733.212,False
high,455,13.150998,14518.770,1104.005,False
extra_high,323,3.365942,217.270,64.549,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 8026.67, False
2, 5127.64, False
3, 8672.70, False
4, 8348.05, False
5, 6630.12, False
6, 6538.84, False
7, 4281.77, False
8, 153.29, False
9, 204.92, False
10, 601.78, False
11, 993.37, False
12, 709.03, False
13, 810.23, False
14, 907.82, False
15, 960.05, False
16, 986.01, False
17, 1003.78, False
18, 1022.45, False
19, 1043.03, False
20, 1166.84, False
21, 147.93, False
22, 135.56, False
23, 117.51, False
24, 99.70, False
25, 82.95, False
26, 70.21, True
27, 60.95, True
28, 53.38, True
29, 46.49, True
30, 39.93, True
31, 43.36, True
32, 5068.32, False
33, 5055.80, False
34, 3606.37, False
35, 102.70, False
36, 154.57, False
37, 131.51, False
38, 75.98, True
39, 55.82, True
40, 60.76, True
Partial (0.31 km), 63.55, True
