Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.954269
Total NOx (mg): 105438.828
Overall NOx (mg/km): 2574.550
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.723291,55134.505,5670.354,False
medium,433,14.371545,25215.625,1754.552,False
high,455,13.297139,23737.123,1785.130,False
extra_high,323,3.562295,1351.575,379.411,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 3553.84, False
2, 9152.62, False
3, 11337.37, False
4, 11858.83, False
5, 9077.94, False
6, 7250.49, False
7, 1489.05, False
8, 802.55, False
9, 489.63, False
10, 380.30, False
11, 1857.00, False
12, 1307.48, False
13, 1437.19, False
14, 1452.69, False
15, 1439.15, False
16, 1440.61, False
17, 1425.96, False
18, 1412.87, False
19, 1413.62, False
20, 2592.40, False
21, 2335.49, False
22, 2315.41, False
23, 2293.82, False
24, 2279.53, False
25, 2262.83, False
26, 2246.50, False
27, 2237.93, False
28, 2224.66, False
29, 2218.17, False
30, 2205.80, False
31, 2190.82, False
32, 1535.04, False
33, 1345.80, False
34, 1463.15, False
35, 1269.24, False
36, 1156.85, False
37, 1116.86, False
38, 1026.61, False
39, 423.57, False
40, 82.16, False
Partial (0.75 km), 49.55, True
