#{"t_start": 1777886547.3486116, "env_id": "None"}
r,l,t
224.509764,3599,736.339268
912.911312,3599,1594.966542
1527.617456,3599,2448.300694
3011.49382,3599,3304.345793
3237.089418,3599,4175.238615
3360.274606,3599,5009.395592
3373.207868,3599,5855.967409
3289.187617,3599,6702.658592
3399.154049,3599,7534.386316
3374.416498,3599,8321.078849
3389.895007,3599,9092.106995
3423.549959,3599,9868.084432
3411.755113,3599,10649.718421
3437.978655,3599,11427.970552
3397.3137,3599,12204.070672
3424.932451,3599,12986.898398
3355.526155,3599,13771.722427
3419.286378,3599,14550.197685
3390.320535,3599,15335.794184
3399.939633,3599,16107.991446
3413.213576,3599,16899.900383
3376.688034,3599,17688.590424
3420.142464,3599,18465.606483
3405.829666,3599,19255.900901
3054.34723,3599,20045.262854
3391.773448,3599,20827.010431
3449.720568,3599,21628.636102
3429.080787,3599,22431.698497
3434.575909,3599,23224.494883
3424.304199,3599,24019.838538
3401.727578,3599,24824.982238
3366.916184,3599,25622.563989
3417.098966,3599,26422.406545
3409.191316,3599,27221.187241
3466.236615,3599,28008.814997
3197.722967,3599,28807.622703
3392.88152,3599,29601.182162
3408.931708,3599,30399.319537
3392.482063,3599,31189.65097
3381.33839,3599,31977.315205
3454.445712,3599,32783.4315
3429.605766,3599,33574.751582
3449.575038,3599,34363.334606
3408.504351,3599,35157.695744
3405.138621,3599,35955.199251
3363.273466,3599,36750.735685
3458.834429,3599,37536.568624
3453.16742,3599,38336.948241
3396.956349,3599,39116.906319
3400.686066,3599,39904.054465
3448.647695,3599,40708.803614
3458.365448,3599,41501.674181
3371.110747,3599,42292.858675
3377.106608,3599,43097.100215
3417.272725,3599,43887.986917
