#{"t_start": 1777476969.4867518, "env_id": "None"}
r,l,t
-162.653461,3599,149.255462
86.674487,3599,321.353966
384.519823,3599,494.050046
454.474109,3599,667.667457
1084.490287,3599,844.568356
6.786687,3599,1023.125464
588.057262,3599,1203.080592
600.501711,3599,1380.783965
115.128188,3599,1552.012394
454.974585,3599,1724.362563
93.901717,3599,1900.501271
1489.00223,3599,2074.764302
-23.460589,3599,2249.196357
3.971009,3599,2427.449038
506.832062,3599,2600.22452
-22.824928,3599,2781.516391
839.896,3599,2959.353452
535.666809,3599,3224.950577
1282.212267,3599,3398.880981
1617.584708,3599,3575.548342
1580.852248,3599,3753.265302
721.518545,3599,3933.215431
1872.64494,3599,4111.516401
2235.288788,3599,4292.973611
1160.821125,3599,4470.661014
1900.762823,3599,4649.133279
1364.101125,3599,4829.328391
2697.499291,3599,5005.392348
1810.762036,3599,5181.804067
2248.526654,3599,5359.440342
2804.194497,3599,5531.404352
3016.567274,3599,5709.270675
2796.389908,3599,5884.652324
3062.924774,3599,6061.740285
3196.062719,3599,6329.469021
3204.398944,3599,6502.877687
3256.73923,3599,6678.772314
3204.005161,3599,6849.608332
3066.675899,3599,7025.084806
3252.8785,3599,7210.492354
3343.351577,3599,7387.165131
3213.259221,3599,7563.896357
3346.184973,3599,7742.252704
3327.536521,3599,7919.00874
3258.858817,3599,8095.380317
3250.333574,3599,8277.587394
3311.841342,3599,8449.920275
3259.521707,3599,8623.308331
3327.152386,3599,8799.589182
3330.653745,3599,8975.859201
3251.937996,3599,9150.619854
3424.443536,3599,9329.72035
3383.196912,3599,9594.648386
3281.317932,3599,9770.773719
3374.99513,3599,9947.14839
3343.583684,3599,10124.521628
2750.000615,3599,10300.380305
3146.233305,3599,10476.052132
3368.743483,3599,10650.129065
3363.571528,3599,10824.393196
3182.730464,3599,11000.113022
3270.69155,3599,11176.828302
3352.582263,3599,11353.948427
3354.915307,3599,11529.233204
3335.183874,3599,11707.015493
3339.419983,3599,11878.793619
3253.420221,3599,12056.060143
3245.586523,3599,12228.692347
3298.055232,3599,12400.276412
3279.200312,3599,12664.944421
3161.817528,3599,12845.220484
3193.838798,3599,13024.133456
3282.918402,3599,13199.340128
3268.615021,3599,13371.60436
3285.378727,3599,13543.356328
3064.274027,3599,13724.641607
3315.047325,3599,13902.12657
3351.300482,3599,14081.632327
3265.013136,3599,14255.601075
3356.554926,3599,14428.413296
3326.358682,3599,14606.141239
3304.953261,3599,14781.23757
3422.239569,3599,14952.732371
3310.053854,3599,15130.540389
3403.131961,3599,15306.133813
3346.509821,3599,15481.748332
3329.807578,3599,15750.664355
3320.322053,3599,15926.852768
3297.197,3599,16103.472329
3260.505917,3599,16277.08712
3325.587454,3599,16454.103086
3279.367518,3599,16630.66938
3246.643303,3599,16811.176286
3323.980619,3599,16987.352378
3411.007404,3599,17163.30449
3339.466796,3599,17341.349856
3391.503406,3599,17517.413015
3280.20173,3599,17696.276255
3338.217338,3599,17871.530274
3310.525823,3599,18046.376354
3255.216781,3599,18219.660276
3268.751581,3599,18395.880117
3250.4347,3599,18576.668297
3267.931861,3599,18751.41638
3175.975871,3599,19013.064461
3259.047463,3599,19187.252473
3249.725035,3599,19363.205057
3227.635704,3599,19540.205257
3264.522682,3599,19715.620506
3158.625422,3599,19889.64079
3235.812574,3599,20063.449033
3289.143477,3599,20244.080246
3355.261586,3599,20420.172328
3232.045583,3599,20591.606617
3240.378145,3599,20766.508355
3299.934763,3599,20943.416359
3377.30465,3599,21118.13342
3279.7105,3599,21294.180458
3273.493628,3599,21470.572448
3287.795625,3599,21645.400403
3408.112866,3599,21823.448958
3365.599086,3599,22086.393277
3243.535865,3599,22262.937081
3235.616014,3599,22438.144321
3321.448787,3599,22613.401551
2911.617385,3599,22789.726798
2466.905205,3599,22968.200322
2403.720938,3599,23149.117631
2534.555705,3599,23327.961086
2939.825548,3599,23504.360309
2990.102034,3599,23679.888499
3115.171065,3599,23856.168358
3193.939583,3599,24032.198738
3278.935618,3599,24204.356283
3148.449788,3599,24382.159859
3418.839518,3599,24556.205052
3416.585889,3599,24731.61233
3260.117016,3599,24908.277195
