Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.212281
Total NOx (mg): 6799.297
Overall NOx (mg/km): 169.085
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.640416,3413.695,354.102,False
medium,433,14.082454,1022.098,72.580,True
high,455,13.101755,2156.874,164.625,False
extra_high,323,3.387655,206.631,60.995,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1157.43, False
2, 617.80, False
3, 592.79, False
4, 532.57, False
5, 260.74, False
6, 84.97, False
7, 65.49, True
8, 47.33, True
9, 36.12, True
10, 242.75, False
11, 88.33, False
12, 0.00, True
13, 3.11, True
14, 10.62, True
15, 12.93, True
16, 12.92, True
17, 12.29, True
18, 11.62, True
19, 119.20, False
20, 204.07, False
21, 5.31, True
22, 74.80, True
23, 147.93, False
24, 190.02, False
25, 214.20, False
26, 228.30, False
27, 235.90, False
28, 239.16, False
29, 239.66, False
30, 238.52, False
31, 234.96, False
32, 176.17, False
33, 119.27, False
34, 59.97, True
35, 36.92, True
36, 27.10, True
37, 24.08, True
38, 48.19, True
39, 85.18, False
Partial (0.86 km), 70.79, True
