#{"t_start": 1778238811.3405707, "env_id": "None"}
r,l,t
-387465.234122,3599,156.31451
-488180.181771,3599,316.952774
-41802.007885,3599,481.677338
-516700.639238,3599,643.589928
-311193.764665,3599,793.694485
-685230.77651,3599,957.750113
-100224.589476,3599,1120.921965
-141604.179391,3599,1285.106464
-11175.606879,3599,1435.367159
-153633.435195,3599,1598.363409
-15948.283365,3599,1761.386548
-25149.796849,3599,1919.298444
-56706.057573,3599,2071.326512
-52668.595662,3599,2236.899564
-9268.717615,3599,2397.650198
-69120.816396,3599,2560.314445
-97054.203684,3599,2709.351884
-34922.686633,3599,2872.99328
-7375.961174,3599,3033.123481
-824.150489,3599,3195.178508
-9506.321346,3599,3343.618622
-24942.804127,3599,3504.14707
-132789.438048,3599,3665.605256
-78506.953169,3599,3828.953171
-60723.52102,3599,3977.457386
-8842.799671,3599,4138.49852
-43529.196999,3599,4297.460608
-15922.548349,3599,4462.506422
-1469.042833,3599,4609.785645
614.760758,3599,4769.934557
-485.147455,3599,4932.902445
2561.538797,3599,5097.691244
-1727.525415,3599,5243.553476
3026.440782,3599,5403.517395
2738.468134,3599,5560.860808
3038.041976,3599,5722.738376
688.884483,3599,5889.244561
1022.326128,3599,6039.757878
1348.214443,3599,6205.941047
2009.61305,3599,6367.137648
1877.746406,3599,6528.025209
2827.143643,3599,6679.034148
2580.859982,3599,6845.72211
3039.843645,3599,7009.896435
3066.211071,3599,7171.290499
3233.759463,3599,7318.662382
3281.921642,3599,7481.538505
3166.450894,3599,7643.164294
3022.701034,3599,7803.164007
3182.393397,3599,7952.116359
2743.645433,3599,8113.415385
3232.963114,3599,8276.526848
3127.439069,3599,8438.928504
3400.717872,3599,8585.962381
3280.101537,3599,8748.823247
2811.665363,3599,8908.494378
3107.216584,3599,9069.750905
2613.93785,3599,9216.900227
2828.09584,3599,9377.466324
3226.061131,3599,9537.910502
3094.600682,3599,9696.494408
3176.384587,3599,9844.362445
2999.413384,3599,10003.444106
3284.084682,3599,10164.374507
2962.683057,3599,10324.739279
2959.583921,3599,10473.260108
2989.332658,3599,10636.310488
3038.621554,3599,10797.01253
2691.381622,3599,10958.21846
3154.398702,3599,11120.214572
3127.447395,3599,11269.748989
3411.020622,3599,11432.66536
3315.154534,3599,11594.486767
3267.14029,3599,11755.97179
3274.070516,3599,11905.254132
3313.53925,3599,12066.034419
3237.191792,3599,12225.861349
2680.046658,3599,12387.120962
3295.68475,3599,12537.554549
3316.874965,3599,12700.872853
3032.45461,3599,12859.444125
3331.620184,3599,13018.974499
3241.502138,3599,13165.466522
2829.448857,3599,13327.419419
3299.816352,3599,13488.535442
3333.822949,3599,13651.813705
3227.479715,3599,13798.201858
3188.854026,3599,13962.262506
3381.546231,3599,14125.730404
3404.44934,3599,14290.542882
3349.811487,3599,14435.987083
3356.829905,3599,14598.2213
3332.240542,3599,14757.9781
3360.061466,3599,14921.287034
3309.016273,3599,15069.974958
3354.925723,3599,15232.478832
3436.780187,3599,15393.510516
3216.730751,3599,15556.40135
3439.22976,3599,15705.321472
3407.888052,3599,15867.360133
3460.317905,3599,16029.825374
3351.369754,3599,16190.821447
3286.967813,3599,16352.795388
3362.408857,3599,16504.370498
3312.868998,3599,16666.375104
3280.725853,3599,16825.859468
3383.395208,3599,16989.115905
3345.131069,3599,17139.636295
3314.877249,3599,17300.546056
3441.069201,3599,17462.98664
3341.560603,3599,17625.071893
3376.792817,3599,17774.389458
3526.758979,3599,17937.872994
3384.019851,3599,18101.230544
3332.165094,3599,18265.747595
3312.905449,3599,18413.13436
3479.631661,3599,18574.086458
3415.665143,3599,18735.236567
3544.624093,3599,18897.959096
3362.958686,3599,19049.839405
3471.569188,3599,19212.666511
3475.116183,3599,19373.633763
3463.183672,3599,19533.923327
3055.081608,3599,19679.951074
3254.630477,3599,19847.950568
3427.428836,3599,20007.926569
3456.327741,3599,20171.184925
3317.810374,3599,20320.442558
3440.921921,3599,20483.042382
3414.291,3599,20646.915033
3298.625558,3599,20807.060884
3518.062949,3599,20957.062822
3304.008754,3599,21120.634322
3425.929373,3599,21286.114503
3387.890677,3599,21449.538481
3185.47641,3599,21596.689389
3418.966561,3599,21757.510999
3398.922445,3599,21922.930553
3329.719311,3599,22082.767909
