Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.081457
Total NOx (mg): 5545.317
Overall NOx (mg/km): 138.351
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.491511,3274.320,344.974,False
medium,433,14.100201,1049.023,74.398,True
high,455,13.072334,1019.828,78.014,True
extra_high,323,3.417411,202.147,59.152,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1164.68, False
2, 451.81, False
3, 542.71, False
4, 634.10, False
5, 209.91, False
6, 78.55, True
7, 88.41, False
8, 57.38, True
9, 34.92, True
10, 318.09, False
11, 92.95, False
12, 0.00, True
13, 4.49, True
14, 29.79, True
15, 34.23, True
16, 28.48, True
17, 22.35, True
18, 18.19, True
19, 219.47, False
20, 157.17, False
21, 0.00, True
22, 16.93, True
23, 76.89, True
24, 108.78, False
25, 115.13, False
26, 108.20, False
27, 95.87, False
28, 82.70, False
29, 71.01, True
30, 61.68, True
31, 81.19, False
32, 99.65, False
33, 107.49, False
34, 73.29, True
35, 32.42, True
36, 18.31, True
37, 36.63, True
38, 68.66, True
39, 74.30, True
Partial (0.74 km), 38.41, True
