#{"t_start": 1778168436.0951667, "env_id": "None"}
r,l,t
-41017.675061,3599,146.120173
-24920.039112,3599,301.968875
-46.148579,3599,458.48876
-8658.698173,3599,615.401275
-13654.495802,3599,763.245925
-4836.970663,3599,923.829227
1438.113548,3599,1084.109188
-2340.377011,3599,1242.03986
871.458476,3599,1391.049206
-832.557964,3599,1547.835852
-78.521013,3599,1706.880794
2321.964754,3599,1866.880183
1595.110193,3599,2014.726012
2800.265011,3599,2171.68314
2878.046375,3599,2328.464127
-1985.965911,3599,2485.85572
2898.325894,3599,2630.015934
3114.431146,3599,2789.883851
3104.21397,3599,2947.387887
2815.803827,3599,3104.883676
2233.126753,3599,3251.547861
1879.810059,3599,3412.843697
2754.145566,3599,3576.180369
3104.959441,3599,3734.183912
1389.536004,3599,3877.873977
2798.677622,3599,4038.912386
1929.729531,3599,4200.675848
3032.432625,3599,4358.760285
2420.33624,3599,4502.756035
3061.482077,3599,4661.647269
3388.742189,3599,4817.851775
2569.289328,3599,4976.460082
3434.524183,3599,5122.259973
2582.750901,3599,5279.366553
3310.61612,3599,5439.463853
3290.083697,3599,5598.511909
3329.796646,3599,5753.431812
3359.919945,3599,5896.323902
2883.395736,3599,6055.556301
3470.582023,3599,6214.451749
3178.023934,3599,6372.244667
3241.857223,3599,6515.86791
2928.712704,3599,6674.78386
3122.102225,3599,6831.840507
3116.168248,3599,6991.480534
3236.182722,3599,7139.123923
2651.105948,3599,7300.504404
2712.725502,3599,7462.600946
3198.870039,3599,7619.492817
3189.446232,3599,7768.540089
3431.168137,3599,7926.840126
3122.310277,3599,8087.795155
3242.398394,3599,8247.532967
3098.798334,3599,8395.295916
3165.784857,3599,8553.882212
2772.389631,3599,8712.292909
3151.60044,3599,8871.496912
2728.203567,3599,9018.124455
3205.388896,3599,9176.623487
3378.563164,3599,9336.228043
3142.491526,3599,9493.256048
3073.721015,3599,9640.688004
2581.903217,3599,9800.995841
3079.041533,3599,9958.230556
3303.382066,3599,10118.756756
3244.035654,3599,10264.835703
3215.976668,3599,10425.587805
3065.796721,3599,10580.475903
3189.589298,3599,10736.290074
3130.889055,3599,10897.177366
3340.908925,3599,11041.412657
3026.297468,3599,11201.21193
3276.376908,3599,11359.92822
3418.238431,3599,11520.05671
3339.975347,3599,11665.823904
3025.127258,3599,11828.091934
3282.842813,3599,11987.638238
3427.343405,3599,12144.816539
3338.493942,3599,12289.723852
3262.820675,3599,12446.789273
3338.815867,3599,12605.927848
3301.53245,3599,12766.343846
2971.6114,3599,12911.635994
3276.665752,3599,13067.299855
2836.262115,3599,13225.075895
3056.708513,3599,13386.382318
3032.49388,3599,13532.900461
2812.722426,3599,13689.455782
2986.20642,3599,13848.459779
3523.808439,3599,14006.255974
2998.28353,3599,14154.171839
2788.455764,3599,14313.451902
2903.985278,3599,14472.384601
3489.791731,3599,14631.059863
3269.539699,3599,14779.084841
2674.509494,3599,14940.772393
3009.105619,3599,15099.443951
3282.616612,3599,15257.79952
3486.089115,3599,15405.017517
3118.24421,3599,15562.943922
3137.359102,3599,15720.67248
2343.147595,3599,15881.991904
3208.803176,3599,16042.09547
3263.6686,3599,16191.567786
3316.349773,3599,16348.56712
3195.311342,3599,16507.295819
3098.265061,3599,16665.17223
3320.357281,3599,16810.471914
3036.881108,3599,16967.927948
3132.681231,3599,17128.27762
3163.645751,3599,17288.17698
3347.811922,3599,17436.556047
2973.973831,3599,17592.39984
2946.653863,3599,17751.612462
3115.463008,3599,17910.768109
3059.397018,3599,18053.847774
2890.009086,3599,18214.187762
3057.280936,3599,18372.581898
3207.408386,3599,18534.080044
3072.279255,3599,18679.340301
3320.964075,3599,18840.331855
3023.13415,3599,18998.475866
3192.874358,3599,19158.01774
3248.089192,3599,19305.883861
3434.843554,3599,19465.803791
3315.815506,3599,19627.690222
3013.622477,3599,19785.484211
3084.054885,3599,19932.227907
3253.312431,3599,20091.740198
3375.606524,3599,20251.03589
3413.603024,3599,20411.859906
3303.553871,3599,20560.532406
3017.433237,3599,20718.262148
3286.088975,3599,20872.575015
3156.054694,3599,21035.754806
2866.06331,3599,21179.299766
2710.781276,3599,21338.615467
3326.050943,3599,21499.317974
3245.17571,3599,21693.796229
