speed_actual,speed_target,soc,ice_torque,nox,fuel,engine_on,ice_speed_rpm,em2_torque_nm,brake_perc
1.3639679,50.0,0.699981,-23.57608,0.00070777535,55.372093200683594,True,4000.0,421.0,0.0
2.439301,50.0,0.6991391,84.78389,0.005507812,70.0,True,2929.933349609375,421.0,0.0
3.0774994,50.0,0.69901276,162.26212,0.018026292,70.0,True,2853.2900390625,421.0,0.0
4.499687,50.0,0.6978506,138.23111,0.042902067,70.0,True,3691.73974609375,421.0,0.0
6.5264854,50.0,0.69691813,183.70126,0.058259875,70.0,True,4000.0,421.0,0.0
9.821842,50.0,0.6966434,250.04889,0.07298352,70.0,True,4000.0,421.0,0.0
13.689735,50.0,0.69675183,281.3751,0.08516316,70.0,True,4000.0,421.0,0.0
17.390991,50.0,0.6971134,297.73654,0.08973564,70.0,True,4000.0,421.0,0.0
21.09068,50.0,0.69753146,300.0,0.08551768,70.0,True,4000.0,421.0,0.0
24.635263,50.0,0.69797325,300.0,0.07704595,70.0,True,4000.0,421.0,0.0
28.048294,50.0,0.69843704,300.0,0.06773886,70.0,True,4000.0,421.0,0.0
31.351257,50.0,0.6989111,300.0,0.059508003,70.0,True,4000.0,421.0,0.0
34.54766,50.0,0.6993949,300.0,0.053129286,70.0,True,4000.0,421.0,0.0
37.636246,50.0,0.6998638,300.0,0.05072024,62.33122634887695,True,4000.0,421.0,0.0
40.619083,50.0,0.70029145,271.75726,0.04605066,53.27767562866211,True,4000.0,421.0,0.0
43.470478,50.0,0.7006669,225.18945,0.034522668,44.02175521850586,True,4000.0,421.0,0.0
46.14697,50.0,0.70097715,171.05618,0.019876182,33.999290466308594,True,4000.0,421.0,0.0
48.657043,50.0,0.70119756,124.43002,0.011918008,24.9619197845459,True,4000.0,421.0,0.0
51.019627,50.0,0.7013031,72.854904,0.007140532,16.412036895751953,True,4000.0,421.0,0.0
52.523087,50.0,0.70150506,20.330597,0.006585002,9.285273551940918,True,4000.0,88.40555,0.0
53.004578,50.0,0.70165044,-19.865967,0.0098584145,3.0,True,4000.0,-96.49396,0.0
52.65971,50.0,0.701561,-35.15753,0.010785326,3.0,True,4000.0,-46.4682,0.0
51.868855,50.0,0.70129573,-23.602661,0.010125294,5.273667335510254,True,4000.0,-21.788666,0.0
51.35449,50.0,0.70098394,-8.104797,0.010113344,7.327504634857178,True,4000.0,110.423706,0.0
51.0674,50.0,0.70075226,1.624527,0.011035293,8.61480712890625,True,4000.0,113.854675,0.0
51.1779,50.0,0.7004954,0.7989807,0.0124583095,8.154059410095215,True,4000.0,165.5774,0.0
51.352985,50.0,0.70015216,-2.2028198,0.013258889,7.7721381187438965,True,4000.0,111.07715,0.0
51.523422,50.0,0.6997899,-10.615295,0.013737872,5.835626602172852,True,4000.0,98.59326,0.0
51.625072,50.0,0.69945335,-14.876801,0.013453379,5.649393081665039,True,4000.0,67.10083,0.0
51.694515,50.0,0.69917005,-18.717329,0.013310552,4.6875481605529785,True,4000.0,54.979767,0.0
51.724213,50.0,0.6989465,-22.486969,0.013161808,4.366657257080078,True,4000.0,41.345306,0.0
51.736115,50.0,0.6987816,-24.722717,0.013278499,4.076810359954834,True,4000.0,36.66992,0.0
51.728947,50.0,0.69866544,-26.564743,0.013391659,3.8677220344543457,True,4000.0,32.496155,0.0
51.713562,50.0,0.6985845,-27.637268,0.0135627985,3.7561893463134766,True,4000.0,32.76178,0.0
51.691216,50.0,0.6985229,-28.299927,0.013685688,3.676654577255249,True,4000.0,32.89859,0.0
51.668396,50.0,0.6984641,-28.700958,0.013766155,3.623692512512207,True,4000.0,34.83371,0.0
51.644863,50.0,0.69839466,-28.94078,0.013791233,3.592527389526367,True,4000.0,35.93579,0.0
51.62125,50.0,0.69830656,-29.123123,0.013770774,3.563101053237915,True,4000.0,37.618256,0.0
51.595848,50.0,0.6981958,-29.199463,0.013716012,3.560667037963867,True,4000.0,38.931183,0.0
51.56919,50.0,0.69806296,-29.186813,0.013636127,3.569744110107422,True,4000.0,40.73343,0.0
51.541935,50.0,0.6979099,-29.060654,0.013540223,3.6012091636657715,True,4000.0,42.48584,0.0
51.515915,50.0,0.69774014,-28.861496,0.013433352,3.637514114379883,True,4000.0,44.36621,0.0
51.492226,50.0,0.6975555,-28.61937,0.013320327,3.6770598888397217,True,4000.0,45.94745,0.0
51.47175,50.0,0.6973599,-28.376862,0.013203666,3.7101221084594727,True,4000.0,47.253662,0.0
51.454597,50.0,0.69715524,-28.159515,0.0130853355,3.7364892959594727,True,4000.0,48.11685,0.0
51.44053,50.0,0.6969447,-27.987411,0.012966663,3.753937005996704,True,4000.0,48.595673,0.0
51.42906,50.0,0.69673043,-27.863066,0.012848496,3.765218734741211,True,4000.0,48.720947,0.0
51.419346,50.0,0.69651437,-27.783325,0.01273182,3.771378517150879,True,4000.0,48.56897,0.0
51.410725,50.0,0.69629836,-27.731949,0.012616843,3.776522159576416,True,4000.0,48.282043,0.0
51.4024,50.0,0.6960833,-27.69319,0.012503296,3.782336711883545,True,4000.0,47.91263,0.0
51.39385,50.0,0.6958703,-27.649826,0.012390196,3.7914440631866455,True,4000.0,47.593445,0.0
51.38475,50.0,0.69565964,-27.586271,0.012276381,3.805469274520874,True,4000.0,47.35489,0.0
51.37497,50.0,0.6954514,-27.496338,0.012160078,3.82421875,True,4000.0,47.233643,0.0
51.364647,50.0,0.69524574,-27.374708,0.012040049,3.8482158184051514,True,4000.0,47.231598,0.0
51.35389,50.0,0.69504195,-27.225466,0.011914745,3.875725030899048,True,4000.0,47.30902,0.0
51.343136,50.0,0.6948404,-27.051971,0.011783242,3.906365394592285,True,4000.0,47.449493,0.0
51.332478,50.0,0.6946402,-26.8638,0.011644781,3.937854290008545,True,4000.0,47.574615,0.0
51.322144,50.0,0.69444114,-26.665648,0.011498943,3.9702374935150146,True,4000.0,47.69983,0.0
51.312336,50.0,0.6942439,-26.462128,0.011345372,4.002626895904541,True,4000.0,47.760223,0.0
51.303112,50.0,0.6940478,-26.261002,0.011183858,4.033738136291504,True,4000.0,47.754852,0.0
