Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.510157
Total NOx (mg): 5857.282
Overall NOx (mg/km): 144.588
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.711830,3135.376,322.841,False
medium,433,14.140433,909.572,64.324,True
high,455,13.176671,1487.696,112.904,False
extra_high,323,3.481222,324.638,93.254,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1125.49, False
2, 414.52, False
3, 490.53, False
4, 518.66, False
5, 333.03, False
6, 81.40, False
7, 67.24, True
8, 49.09, True
9, 35.55, True
10, 145.30, False
11, 187.97, False
12, 0.00, True
13, 7.71, True
14, 17.36, True
15, 18.71, True
16, 17.33, True
17, 15.60, True
18, 14.16, True
19, 44.66, True
20, 273.86, False
21, 1.65, True
22, 36.57, True
23, 84.16, False
24, 107.59, False
25, 119.87, False
26, 128.28, False
27, 135.68, False
28, 143.05, False
29, 150.60, False
30, 158.27, False
31, 219.36, False
32, 148.69, False
33, 108.19, False
34, 57.58, True
35, 34.88, True
36, 25.65, True
37, 21.97, True
38, 55.86, True
39, 140.27, False
40, 110.98, False
Partial (0.11 km), 87.41, False
