Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.948411
Total NOx (mg): 4881.873
Overall NOx (mg/km): 119.220
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.844375,3135.444,318.501,False
medium,433,14.270958,698.929,48.976,True
high,455,13.295830,713.349,53.652,True
extra_high,323,3.537247,334.152,94.467,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1076.02, False
2, 447.16, False
3, 537.35, False
4, 560.33, False
5, 293.28, False
6, 40.47, True
7, 52.45, True
8, 60.75, True
9, 44.85, True
10, 27.40, True
11, 315.92, False
12, 0.00, True
13, 0.00, True
14, 9.29, True
15, 20.65, True
16, 21.06, True
17, 18.41, True
18, 15.74, True
19, 13.90, True
20, 267.63, False
21, 0.50, True
22, 0.00, True
23, 0.03, True
24, 11.98, True
25, 26.88, True
26, 35.13, True
27, 39.42, True
28, 41.54, True
29, 42.69, True
30, 43.59, True
31, 42.35, True
32, 167.32, False
33, 75.07, True
34, 84.34, False
35, 63.81, True
36, 30.54, True
37, 16.75, True
38, 70.46, True
39, 100.36, False
40, 122.26, False
Partial (0.72 km), 61.15, True
