#{"t_start": 1778594190.4309816, "env_id": "None"}
r,l,t
-114301.323083,3599,840.994019
2463.355802,3599,1702.209768
-155302.584314,3599,2563.149063
-93854.846735,3599,3423.758744
-19309.795449,3599,4265.944046
-8869.702089,3599,5123.171427
2538.886829,3599,6143.175413
2995.363648,3599,7001.883417
-1367.566094,3599,7840.612657
2642.766172,3599,8697.911409
-3815.676455,3599,9554.898027
-4304.454131,3599,10413.487397
-2885.688368,3599,11253.825595
-375.36262,3599,12275.127422
2188.382168,3599,13131.655523
2797.439758,3599,13990.139433
1985.76723,3599,14829.791399
2663.71746,3599,15686.559412
2682.615457,3599,16544.618229
2554.107038,3599,17402.287536
3093.074653,3599,18407.643915
2849.519301,3599,19265.011414
2777.852235,3599,20123.755387
2421.201901,3599,20980.495423
3253.563865,3599,21819.771809
3215.922685,3599,22677.039407
3305.730515,3599,23533.755405
2789.935326,3599,24554.294179
2117.20714,3599,25392.97541
3239.236607,3599,26250.115422
2773.386318,3599,27107.187465
2484.136526,3599,27965.312139
3467.338546,3599,28805.021617
3439.735179,3599,29662.219415
3091.381529,3599,30684.092665
3386.285301,3599,31547.154948
3376.004829,3599,32405.903408
3238.626345,3599,33244.484937
3074.683595,3599,34101.533024
3126.291266,3599,34960.335771
2677.182054,3599,35817.085411
2827.771754,3599,36817.762023
3351.512563,3599,37674.467406
3016.667268,3599,38533.419282
3113.341677,3599,39394.951419
3392.954174,3599,40232.983411
3055.860104,3599,41089.995304
3075.016623,3599,41948.899894
3238.945315,3599,42969.815414
3226.524929,3599,43809.911426
3292.432656,3599,44667.487419
3234.968487,3599,45524.478212
3417.653105,3599,46384.623408
2930.188697,3599,47224.909676
3412.53083,3599,48084.765607
