#{"t_start": 1779788240.85295, "env_id": "None"}
r,l,t
-64256.977093,3599,21896.911813
-43018.992877,3599,32396.727081
-25429.36785,3599,37714.741993
-69093.853884,3599,38889.900948
-66148.211624,3599,39768.495078
-17666.734767,3599,40689.107106
-28748.66889,3599,41612.643061
-35347.164591,3599,42535.399108
1804.935766,3599,43429.433767
1743.502962,3599,44349.774942
2681.693843,3599,45271.143117
2516.545928,3599,46194.655073
967.102187,3599,47089.883047
967.803302,3599,48009.723022
-5463.037211,3599,48930.091071
834.743453,3599,49852.623355
2847.739447,3599,50745.699067
2581.44197,3599,51665.330873
249.490389,3599,52587.25107
1847.901265,3599,53508.866195
1278.143557,3599,54405.451611
2361.640979,3599,55326.195088
-263.480006,3599,56250.597028
2208.438883,3599,57171.233845
2319.419526,3599,58066.403056
478.281646,3599,58986.095272
2613.904952,3599,59906.307092
2730.923569,3599,60826.787056
3115.133703,3599,61718.883062
3425.538504,3599,62639.491114
2627.063353,3599,63560.245362
1107.390684,3599,64481.810227
3399.792058,3599,65379.150882
3334.517746,3599,66342.262848
3328.276682,3599,67350.256534
1818.757054,3599,68466.663245
2460.60151,3599,69514.129464
2379.190174,3599,70530.164795
2951.077131,3599,71582.149866
3187.765885,3599,72648.583282
3178.977823,3599,73706.050117
2922.46633,3599,74720.352472
3410.061311,3599,75779.837875
3057.642375,3599,76833.345288
3206.738595,3599,77902.424531
3400.584859,3599,78929.583061
3082.917159,3599,79998.578683
3356.415134,3599,81030.910151
3321.952526,3599,82016.304127
2785.022831,3599,83043.342804
2911.090968,3599,84105.87862
3218.277753,3599,85117.988531
3114.20918,3599,86170.042341
3445.738688,3599,87193.680058
3174.777478,3599,88244.101813
