Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 39.768411
Total NOx (mg): 4403.491
Overall NOx (mg/km): 110.728
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.555718,2482.867,259.830,False
medium,433,13.913759,719.180,51.688,True
high,455,12.959256,402.984,31.096,True
extra_high,323,3.339678,798.460,239.083,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 749.99, False
2, 273.96, False
3, 276.90, False
4, 270.61, False
5, 283.19, False
6, 147.25, False
7, 139.79, False
8, 137.78, False
9, 135.74, False
10, 336.85, False
11, 74.63, True
12, 21.01, True
13, 16.77, True
14, 18.59, True
15, 20.75, True
16, 22.33, True
17, 23.42, True
18, 24.15, True
19, 152.10, False
20, 41.54, True
21, 4.84, True
22, 9.03, True
23, 15.71, True
24, 20.25, True
25, 22.41, True
26, 23.05, True
27, 22.93, True
28, 22.51, True
29, 22.03, True
30, 21.59, True
31, 12.01, True
32, 6.52, True
33, 38.96, True
34, 70.96, True
35, 60.01, True
36, 55.72, True
37, 75.83, True
38, 235.10, False
39, 332.91, False
Partial (0.50 km), 330.23, False
