#{"t_start": 1778190012.9982116, "env_id": "None"}
r,l,t
2613.860011,3599,797.788378
3129.793919,3599,1594.18039
224.013465,3599,2386.83306
3234.940013,3599,3181.137139
1022.459842,3599,3972.46509
3303.761404,3599,4768.380989
-1902.501808,3599,5559.20507
3052.79848,3599,6349.620639
2484.9562,3599,7142.613078
2686.1734,3599,7930.989062
2804.995466,3599,8722.877053
3402.209364,3599,9516.181303
2944.61598,3599,10303.513094
3040.441157,3599,11092.677203
3131.786522,3599,11885.007328
3189.150798,3599,12673.513053
2998.699857,3599,13462.493095
3342.337445,3599,14256.333121
1973.780409,3599,15052.542312
3416.220084,3599,15841.149091
3479.205217,3599,16635.201089
3339.177724,3599,17427.745133
3366.262007,3599,18222.565017
3171.85905,3599,19014.581084
2821.466777,3599,19807.971504
3151.971741,3599,20602.089184
3475.702351,3599,21348.667744
3134.233734,3599,22078.605065
3325.25594,3599,22808.683986
3331.320088,3599,23536.843004
3428.134864,3599,24262.945016
2627.858118,3599,25022.845016
3037.743524,3599,25750.321068
3466.484837,3599,26478.960966
3375.302665,3599,27205.485011
3480.983878,3599,27933.917915
3302.722415,3599,28666.351099
3298.592627,3599,29392.912975
2908.822024,3599,30122.969046
3503.957322,3599,30851.704917
3478.323376,3599,31581.097433
3492.275623,3599,32310.956978
3412.383852,3599,33041.978384
3459.803549,3599,33768.8454
3497.029426,3599,34501.185027
3368.06765,3599,35229.235883
3381.187345,3599,35958.46975
3504.479215,3599,36683.542863
3302.177765,3599,37413.724959
3339.971075,3599,38143.4254
3374.553666,3599,38869.860963
3412.438855,3599,39601.552918
3502.767748,3599,40334.959852
3124.162595,3599,41065.545139
3343.189668,3599,41798.63798
3107.724162,3599,42524.880911
3496.470514,3599,43259.584954
3413.013554,3599,43992.627824
3303.230843,3599,44726.116375
3451.933619,3599,45454.404941
3479.587285,3599,46180.584067
3422.859173,3599,46910.77415
3468.344048,3599,47638.987758
3387.70146,3599,48368.278322
3277.766266,3599,49115.076492
2995.145157,3599,49861.22937
3370.255434,3599,50606.786966
3387.522246,3599,51348.172205
3443.358311,3599,52090.020981
3325.720594,3599,52830.540919
3478.592602,3599,53572.756438
3493.388375,3599,54316.400908
3264.547539,3599,55061.5319
3467.964521,3599,55802.675371
3313.896205,3599,56544.277859
3336.703206,3599,57288.874758
3252.26954,3599,58031.261252
3386.723711,3599,58776.358939
3400.761928,3599,59521.01212
3506.379891,3599,60264.005064
3432.644682,3599,61008.378221
3438.474225,3599,61754.118035
3443.63448,3599,62497.894529
3247.700387,3599,63238.492087
3451.13151,3599,63980.983602
3311.313733,3599,64727.054976
3497.321683,3599,65473.198654
3402.112493,3599,66219.249009
3430.661551,3599,66968.158799
3469.683734,3599,67713.205543
3241.12852,3599,68455.22901
3421.802676,3599,69196.987287
3405.429204,3599,69938.945008
3189.031282,3599,70680.25703
3105.379861,3599,71418.002493
3455.65715,3599,72147.689107
3381.752309,3599,72877.473032
3376.899272,3599,73607.851222
3335.860589,3599,74346.432033
3500.328567,3599,75078.637516
3461.895373,3599,75810.945815
3486.625345,3599,76545.461771
3398.647978,3599,77274.137682
3417.761318,3599,78002.068999
3409.507596,3599,78732.627213
3439.406246,3599,79466.257058
3486.053814,3599,80200.391792
3521.016595,3599,80936.163071
3406.814623,3599,81663.587982
3493.987648,3599,82395.693445
3378.511261,3599,83125.321036
3396.943366,3599,83857.055882
3455.822375,3599,84582.860911
3431.288297,3599,85313.638573
3355.240997,3599,86043.827415
3191.986137,3599,86774.159487
3423.838421,3599,87504.466276
3431.6427,3599,88232.577882
3450.423324,3599,88965.142125
3500.7136,3599,89693.609022
3259.500698,3599,90422.923443
3457.547138,3599,91155.337014
3481.915129,3599,91887.774407
3350.214537,3599,92613.01816
3468.167714,3599,93344.737057
3268.434086,3599,94076.885056
3448.307593,3599,94805.411006
3484.853079,3599,95533.930321
3354.551261,3599,96263.823188
3507.266948,3599,96989.615424
3389.751855,3599,97720.685826
3466.99811,3599,98449.941797
3296.543897,3599,99184.023454
3365.92862,3599,99921.832491
3126.822951,3599,100659.135663
3295.816737,3599,101398.161251
3287.112753,3599,102134.99299
3372.703081,3599,102864.142773
