Emissions Summary
=================
Samples used: 3600
Step size (dt): 0.500 s
Total distance (km): 23.351732
Total NOx (mg): 3521.741
Overall NOx (mg/km): 150.813
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,3.082657,3327.213,1079.333,False
medium,433,4.763513,52.756,11.075,True
high,455,7.227014,56.608,7.833,True
extra_high,323,8.278548,85.164,10.287,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 3238.39, False
2, 43.12, True
3, 40.03, True
4, 23.29, True
5, 10.32, True
6, 7.68, True
7, 7.95, True
8, 12.79, True
9, 3.57, True
10, 6.37, True
11, 10.79, True
12, 14.59, True
13, 7.33, True
14, 5.60, True
15, 4.11, True
16, 2.96, True
17, 8.08, True
18, 14.25, True
19, 11.00, True
20, 7.89, True
21, 7.28, True
22, 6.37, True
23, 17.74, True
Partial (0.20 km), 51.04, True
