#{"t_start": 1778190012.985752, "env_id": "None"}
r,l,t
1376.140312,3599,791.959049
-1816.474244,3599,1573.467038
-217.56921,3599,2360.653445
-425.559151,3599,3150.178841
336.728166,3599,3933.726351
-401.620143,3599,4717.37305
804.072973,3599,5503.086553
-1368.954863,3599,6289.813624
-209.953227,3599,7081.249474
976.721868,3599,7872.573543
2571.455672,3599,8654.669006
-10112.124332,3599,9442.778543
1337.839019,3599,10222.649563
509.603612,3599,11006.637441
-32571.08737,3599,11796.204507
2131.256367,3599,12578.462604
205.017975,3599,13366.822457
979.966167,3599,14156.641668
849.522089,3599,14947.278545
3094.361064,3599,15731.178043
645.293528,3599,16515.394617
1602.910214,3599,17302.790978
880.245176,3599,18091.031741
1527.284481,3599,18875.717507
2579.207235,3599,19661.961389
3479.622509,3599,20446.577562
2490.586012,3599,21213.021366
2076.709446,3599,21943.829397
2104.85762,3599,22667.553407
1959.485497,3599,23395.189399
2891.08995,3599,24119.957446
2035.941128,3599,24874.928711
2654.892256,3599,25600.498668
3082.795444,3599,26325.723083
1648.59469,3599,27053.934136
2779.123339,3599,27781.250293
-315.728705,3599,28506.162245
2239.386264,3599,29232.862442
3361.627464,3599,29961.618412
3346.084606,3599,30686.382557
2499.919147,3599,31410.179027
3079.283947,3599,32136.402181
1836.447245,3599,32862.823996
2237.125604,3599,33587.689909
2608.965006,3599,34312.173365
3199.075203,3599,35037.56934
3192.090197,3599,35768.761148
3337.445956,3599,36497.90234
3259.586498,3599,37222.851279
3295.633619,3599,37950.474298
2252.104151,3599,38677.804791
2730.733124,3599,39409.55798
2787.974632,3599,40135.245981
3405.692513,3599,40862.429449
2653.315282,3599,41588.985516
3388.931003,3599,42309.533393
3357.468975,3599,43036.380307
3276.473513,3599,43763.098127
3352.439987,3599,44487.493601
2892.736184,3599,45211.805385
3364.761216,3599,45936.077552
3235.487452,3599,46661.42872
3313.191921,3599,47390.33445
3229.52564,3599,48112.178447
3225.501376,3599,48845.125383
3356.779023,3599,49584.773056
3139.949409,3599,50325.660248
3384.235334,3599,51064.685474
2861.408761,3599,51804.94725
2213.035402,3599,52544.493403
3171.752408,3599,53284.573452
3440.278305,3599,54020.879663
2806.299931,3599,54760.64217
2749.874566,3599,55503.477409
3397.095538,3599,56243.526548
3471.903059,3599,56984.57851
3425.006816,3599,57728.253474
3452.423478,3599,58466.097406
3430.493168,3599,59207.641448
3446.958571,3599,59948.573359
3450.0015,3599,60686.993553
3484.958993,3599,61426.769582
3454.254324,3599,62168.463506
3408.332365,3599,62908.457502
3481.344317,3599,63650.893524
3445.297145,3599,64385.817088
3433.410424,3599,65127.309687
3378.620784,3599,65869.357392
3458.164265,3599,66616.033429
3375.23533,3599,67360.962
3508.53896,3599,68100.362461
3486.891838,3599,68843.145386
3374.058991,3599,69580.657082
3415.837567,3599,70318.639963
3355.287783,3599,71054.199209
3406.227509,3599,71778.635237
3419.967091,3599,72506.88937
3411.188438,3599,73234.527301
3512.646367,3599,73958.274356
3498.162966,3599,74684.207106
3427.530372,3599,75410.73347
3510.3464,3599,76142.471346
3442.473032,3599,76873.465437
3432.335115,3599,77599.059155
3259.331337,3599,78326.309325
3457.717301,3599,79053.440305
3384.510898,3599,79783.322932
3426.805239,3599,80513.629423
3303.875637,3599,81241.290598
3478.592806,3599,81967.619066
3471.200903,3599,82691.045472
3444.698562,3599,83419.683342
3431.449367,3599,84142.681411
3473.666609,3599,84869.386241
3515.318443,3599,85593.519188
3478.535492,3599,86320.333981
3347.38644,3599,87044.939553
3395.601443,3599,87770.291584
3366.590345,3599,88494.701977
3510.304063,3599,89219.699257
3456.890078,3599,89949.330352
3345.971418,3599,90675.152833
3386.304016,3599,91399.191125
3443.567414,3599,92124.75826
3444.324899,3599,92851.061372
3439.76206,3599,93577.47727
3393.065632,3599,94310.067432
3400.06868,3599,95037.883103
3493.944795,3599,95760.086078
3370.131249,3599,96485.008581
3352.128052,3599,97206.111365
3483.951719,3599,97930.169445
3424.364697,3599,98655.942415
3433.734383,3599,99378.682861
3389.062316,3599,100111.210168
3435.35557,3599,100896.753474
3353.795513,3599,101770.16939
3449.50113,3599,102645.914048
