Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.876743
Total NOx (mg): 4597.970
Overall NOx (mg/km): 112.484
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.900210,3607.108,364.347,False
medium,433,14.229223,629.719,44.255,True
high,455,13.291014,332.032,24.982,True
extra_high,323,3.456297,29.111,8.423,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 388.92, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 58.78, True
6, 1353.64, False
7, 1610.45, False
8, 158.26, False
9, 17.52, True
10, 24.56, True
11, 181.57, False
12, 1.40, True
13, 20.80, True
14, 29.66, True
15, 27.97, True
16, 24.46, True
17, 21.53, True
18, 19.42, True
19, 17.96, True
20, 185.65, False
21, 13.93, True
22, 21.14, True
23, 28.44, True
24, 30.17, True
25, 29.64, True
26, 28.95, True
27, 28.65, True
28, 28.75, True
29, 29.10, True
30, 29.58, True
31, 30.09, True
32, 55.96, True
33, 13.73, True
34, 27.85, True
35, 15.14, True
36, 9.25, True
37, 4.99, True
38, 17.40, True
39, 12.62, True
40, 0.04, True
Partial (0.64 km), 0.00, True
