#{"t_start": 1778190013.0205169, "env_id": "None"}
r,l,t
-8446.518727,3599,791.229155
519.227264,3599,1577.790778
-5765.524963,3599,2365.976118
1549.021362,3599,3156.850771
1350.074134,3599,3947.34679
163.915477,3599,4736.924111
2209.952812,3599,5525.422834
2612.707225,3599,6312.360967
2631.88646,3599,7105.80014
1859.929605,3599,7895.670877
1673.737308,3599,8684.311394
2429.832269,3599,9475.858792
-614.385984,3599,10261.054824
2161.458585,3599,11047.673404
3235.77499,3599,11837.159679
1794.639986,3599,12625.654788
1162.664999,3599,13415.707323
2049.902854,3599,14206.531315
2258.845337,3599,14999.214788
1403.013281,3599,15792.613228
964.161902,3599,16593.96816
3381.740945,3599,17388.330896
2695.762485,3599,18179.210144
2789.874061,3599,18975.210794
2491.735264,3599,19763.282756
3392.802944,3599,20554.848052
2095.424313,3599,21310.050677
1843.308112,3599,22040.494702
2662.853707,3599,22769.371733
3277.552123,3599,23496.707564
3006.242587,3599,24232.368242
3377.794144,3599,24994.454411
2849.181234,3599,25721.018285
3363.338792,3599,26452.182772
3350.923006,3599,27181.423575
2366.054815,3599,27911.435512
3432.634783,3599,28642.043512
3400.783111,3599,29373.394717
1930.62168,3599,30100.487507
3447.054305,3599,30831.201662
2854.257124,3599,31561.838632
2753.199367,3599,32288.662642
2579.514839,3599,33017.251327
872.650232,3599,33749.656314
3394.675752,3599,34483.456016
3391.272509,3599,35216.746632
3339.617698,3599,35944.174643
3328.208506,3599,36673.594127
1627.079487,3599,37406.658614
3321.563391,3599,38138.385072
3315.688658,3599,38867.854694
2798.931655,3599,39597.83155
3362.855794,3599,40328.830401
3340.965446,3599,41063.154716
2817.818938,3599,41791.555699
3261.191153,3599,42522.954674
3415.912989,3599,43256.818756
3106.308154,3599,43987.855415
3314.605633,3599,44718.488004
2724.886817,3599,45447.067533
3350.467888,3599,46177.693728
3183.164389,3599,46909.430689
3328.968794,3599,47637.982339
2761.888275,3599,48363.306196
3114.172452,3599,49102.644462
3351.439257,3599,49846.291941
2112.906914,3599,50591.447909
2692.537414,3599,51334.099259
3153.47049,3599,52079.637853
3308.455786,3599,52822.21177
3246.376535,3599,53570.723366
3234.142846,3599,54315.187454
3279.702009,3599,55061.574788
3459.424424,3599,55804.878768
3333.665923,3599,56545.982506
3379.468074,3599,57287.775542
3368.895767,3599,58033.046643
3268.770704,3599,58775.768821
3321.126054,3599,59520.622719
3368.76704,3599,60266.842666
2862.393522,3599,61006.286771
3167.692471,3599,61749.336026
3294.543176,3599,62493.659563
3327.712955,3599,63234.422183
3288.179081,3599,63981.669996
3434.1455,3599,64728.732269
3368.462496,3599,65474.700823
3366.562405,3599,66223.194657
3340.937056,3599,66967.521021
3385.670132,3599,67712.742686
3364.765901,3599,68456.470682
3336.930851,3599,69200.881501
3205.745312,3599,69945.064152
3138.98041,3599,70685.350794
3318.031072,3599,71422.453438
3281.942896,3599,72153.998231
3405.764653,3599,72885.825837
3308.984519,3599,73616.539059
3394.782773,3599,74344.753799
3213.437154,3599,75076.79679
3329.198858,3599,75808.273696
3195.999302,3599,76539.334888
1988.859781,3599,77269.451136
3200.263955,3599,77998.818645
3352.588023,3599,78729.296624
3293.807731,3599,79464.002943
3062.212062,3599,80196.309193
3028.688997,3599,80927.998668
3383.843766,3599,81659.726806
3045.449401,3599,82389.398351
3261.421078,3599,83122.608982
3321.907929,3599,83855.527678
3214.120552,3599,84589.908824
3394.288404,3599,85318.570669
3406.339626,3599,86050.87955
3238.902284,3599,86784.430743
3009.210365,3599,87517.250628
2991.235652,3599,88250.970789
3163.78465,3599,88980.229537
2954.761446,3599,89713.825079
3332.925779,3599,90448.460095
3260.300616,3599,91181.945904
3225.312849,3599,91913.263215
3322.245061,3599,92646.194722
3288.925367,3599,93382.134642
3020.00375,3599,94110.058589
3334.643574,3599,94842.048473
3365.871485,3599,95575.988462
3379.376974,3599,96310.509117
3316.363337,3599,97040.072626
2835.875981,3599,97765.885197
3210.226379,3599,98502.803889
3418.664712,3599,99233.483419
3326.479359,3599,99964.781029
3426.27174,3599,100701.170665
3191.417083,3599,101437.04372
2835.422243,3599,102175.26338
3320.18808,3599,102908.210549
