Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 39.379834
Total NOx (mg): 7106.850
Overall NOx (mg/km): 180.469
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.457386,4158.578,439.717,False
medium,433,13.788531,1695.924,122.995,False
high,455,12.813409,1236.647,96.512,False
extra_high,323,3.320508,15.702,4.729,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 548.44, False
2, 0.00, True
3, 0.00, True
4, 4.70, True
5, 2880.61, False
6, 600.93, False
7, 23.71, True
8, 37.36, True
9, 44.97, True
10, 81.42, False
11, 42.37, True
12, 183.88, False
13, 293.92, False
14, 195.98, False
15, 126.54, False
16, 90.38, False
17, 70.73, True
18, 60.11, True
19, 288.70, False
20, 113.79, False
21, 23.68, True
22, 49.65, True
23, 80.34, False
24, 99.61, False
25, 111.09, False
26, 120.11, False
27, 129.95, False
28, 137.76, False
29, 145.63, False
30, 149.98, False
31, 309.70, False
32, 40.39, True
33, 4.71, True
34, 0.00, True
35, 0.00, True
36, 0.00, True
37, 15.70, True
38, 0.00, True
39, 0.00, True
Partial (0.14 km), 0.00, True
