Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.072827
Total NOx (mg): 2797.765
Overall NOx (mg/km): 68.117
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.946076,1411.593,141.925,False
medium,433,14.240595,716.198,50.293,True
high,455,13.336235,620.126,46.499,True
extra_high,323,3.549922,49.848,14.042,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 645.23, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 345.75, False
6, 188.48, False
7, 89.97, False
8, 53.98, True
9, 46.92, True
10, 44.90, True
11, 209.56, False
12, 32.85, True
13, 31.24, True
14, 32.02, True
15, 32.37, True
16, 32.62, True
17, 32.90, True
18, 33.20, True
19, 33.53, True
20, 212.16, False
21, 19.10, True
22, 0.00, True
23, 1.20, True
24, 8.83, True
25, 13.92, True
26, 15.29, True
27, 14.62, True
28, 13.23, True
29, 11.86, True
30, 10.81, True
31, 10.13, True
32, 24.90, True
33, 82.95, False
34, 103.39, False
35, 101.53, False
36, 96.51, False
37, 92.20, False
38, 79.60, True
39, 0.00, True
40, 0.00, True
Partial (0.87 km), 0.00, True
