#{"t_start": 1778542191.2753134, "env_id": "None"}
r,l,t
163.37484,3599,967.685542
-740.356181,3599,1934.773148
-27.715801,3599,2895.919666
2574.199585,3599,3860.325021
2969.810407,3599,4819.441558
2172.305448,3599,5801.725752
1588.124603,3599,6857.872689
3398.136217,3599,7815.929067
2297.014062,3599,8709.085271
2828.172281,3599,9605.864423
2720.727045,3599,10503.559208
3311.203439,3599,11410.917355
3340.305945,3599,12308.691278
3278.119054,3599,13293.103506
3359.525969,3599,14195.805789
3149.556862,3599,15100.025312
3441.073402,3599,16009.281776
2934.064472,3599,16911.881361
3334.625445,3599,17835.113767
3327.309567,3599,18763.61777
3362.871475,3599,19752.537052
3370.680564,3599,20655.401401
3223.140262,3599,21558.161192
3230.970097,3599,22466.673168
3466.502315,3599,23362.940802
3438.28235,3599,24268.144956
3356.897659,3599,25162.753402
3460.674812,3599,26140.589268
3402.264291,3599,27037.924383
3339.661348,3599,27938.080557
3500.332736,3599,28853.821898
3327.58512,3599,29746.393374
3429.764631,3599,30680.670367
3448.425095,3599,31578.68883
3365.390393,3599,32554.580949
3428.178442,3599,33449.664873
3237.200337,3599,34340.741738
3459.424948,3599,35232.90544
3391.464822,3599,36135.581248
3386.769789,3599,37041.213109
3475.717445,3599,37945.242455
3221.002685,3599,38930.193406
3456.669227,3599,39831.265913
3460.272206,3599,40740.22485
3500.415283,3599,41649.089612
3410.496984,3599,42560.224876
3439.458752,3599,43459.637303
3431.977413,3599,44362.141197
3502.872693,3599,45342.194876
3287.579762,3599,46247.688898
3267.892594,3599,47139.510765
3175.243618,3599,48045.269142
3475.128907,3599,48951.722883
3377.237701,3599,49851.453696
3421.737004,3599,50745.033132
