Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.550735
Total NOx (mg): 4766.468
Overall NOx (mg/km): 117.543
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.826555,2662.843,270.984,False
medium,433,14.108747,977.329,69.271,True
high,455,13.130994,627.638,47.798,True
extra_high,323,3.484438,498.658,143.110,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 812.54, False
2, 211.81, False
3, 237.81, False
4, 256.56, False
5, 318.30, False
6, 169.65, False
7, 171.62, False
8, 175.62, False
9, 174.05, False
10, 169.28, False
11, 357.79, False
12, 31.49, True
13, 21.02, True
14, 17.77, True
15, 18.65, True
16, 20.07, True
17, 21.08, True
18, 21.68, True
19, 22.03, True
20, 225.26, False
21, 58.53, True
22, 39.68, True
23, 47.73, True
24, 55.83, True
25, 60.85, True
26, 63.44, True
27, 64.32, True
28, 64.00, True
29, 63.35, True
30, 62.71, True
31, 43.56, True
32, 6.16, True
33, 20.28, True
34, 34.64, True
35, 43.25, True
36, 47.87, True
37, 50.76, True
38, 140.37, False
39, 17.69, True
40, 255.96, False
Partial (0.22 km), 320.68, False
