#{"t_start": 1779872749.7328217, "env_id": "None"}
r,l,t
1233.662069,3599,1073.520171
135.484217,3599,2154.190196
1628.301909,3599,3237.279764
2891.962899,3599,4312.195869
1237.60393,3599,5334.929404
2063.228862,3599,6328.248919
2653.164665,3599,7325.738328
3029.307696,3599,8299.57333
2786.9385,3599,9282.910091
2717.046781,3599,10267.682566
1360.201767,3599,11254.504923
2488.02944,3599,12240.345215
3137.383597,3599,13247.796919
3335.43723,3599,14236.210712
2717.491084,3599,15220.050715
3053.949899,3599,16206.180761
2806.203468,3599,17205.288948
2858.900094,3599,18210.620743
3361.316436,3599,19197.500885
3473.970126,3599,20179.833139
3373.851827,3599,21177.534312
3431.154053,3599,22176.098435
3465.112849,3599,23171.185474
3474.815642,3599,24159.308651
3447.747262,3599,25145.39308
3382.646521,3599,26135.128803
3435.011425,3599,27125.680756
3438.97589,3599,28117.470703
3438.46453,3599,29114.66032
3277.020328,3599,30112.97489
3472.865165,3599,31104.039066
3376.860804,3599,32085.40101
3416.463548,3599,33074.93666
3342.82099,3599,34070.445049
3324.267637,3599,35058.621257
3487.42703,3599,36053.316807
3426.384816,3599,37045.344748
3448.953702,3599,38047.100636
3429.936367,3599,39043.160878
3479.996349,3599,40036.60879
3261.835336,3599,41017.636658
3347.982511,3599,42013.420773
3408.261485,3599,43012.758658
3479.069973,3599,43997.857034
3448.577726,3599,44981.4971
3422.336089,3599,45968.626211
3496.445251,3599,46961.796784
3438.784292,3599,47971.224427
3514.230739,3599,48948.468548
3337.923509,3599,49943.857273
3423.716875,3599,50939.228018
3401.292478,3599,51941.721117
3499.146923,3599,52937.400486
3188.212246,3599,53932.972279
3400.132469,3599,54858.684298
