Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.344103
Total NOx (mg): 4245.281
Overall NOx (mg/km): 105.227
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.716212,2466.518,253.856,False
medium,433,14.036175,700.183,49.884,True
high,455,13.135931,861.332,65.571,True
extra_high,323,3.455785,217.248,62.865,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1033.55, False
2, 292.97, False
3, 217.52, False
4, 171.06, False
5, 208.94, False
6, 126.51, False
7, 116.35, False
8, 112.11, False
9, 110.96, False
10, 204.99, False
11, 80.05, False
12, 12.42, True
13, 12.58, True
14, 15.56, True
15, 18.24, True
16, 19.59, True
17, 20.08, True
18, 20.17, True
19, 43.71, True
20, 246.80, False
21, 20.40, True
22, 7.70, True
23, 29.02, True
24, 42.76, True
25, 46.36, True
26, 43.95, True
27, 39.19, True
28, 34.17, True
29, 29.82, True
30, 26.38, True
31, 33.12, True
32, 104.04, False
33, 111.09, False
34, 105.66, False
35, 103.31, False
36, 102.33, False
37, 101.89, False
38, 27.51, True
39, 78.16, True
40, 69.07, True
