#{"t_start": 1779872750.0817883, "env_id": "None"}
r,l,t
2772.491212,3599,1081.296609
1169.810437,3599,2146.574625
3140.723822,3599,3213.855554
1466.00016,3599,4276.303656
2056.996712,3599,5287.748125
1875.529132,3599,6267.363817
2571.995549,3599,7248.529479
2117.278686,3599,8227.651086
3391.392289,3599,9196.940238
2664.410454,3599,10168.676042
3216.737888,3599,11135.183767
2527.480242,3599,12099.773482
3282.587153,3599,13065.960502
3270.062336,3599,14034.859741
2807.795668,3599,15007.101056
2537.345067,3599,15986.380482
3185.625295,3599,16951.01862
2977.67833,3599,17922.575878
3266.765137,3599,18897.380972
3087.913519,3599,19861.211156
3195.437999,3599,20833.752995
3269.163966,3599,21798.895706
3164.155744,3599,22753.404001
3269.2424,3599,23714.967965
3192.021074,3599,24669.875102
3278.983382,3599,25638.892399
3242.508147,3599,26609.403854
3383.390464,3599,27577.053745
3420.144484,3599,28534.547837
2943.422948,3599,29510.527945
3318.413636,3599,30470.759959
3407.881674,3599,31446.967836
3498.565078,3599,32408.55983
3446.05507,3599,33377.724015
3309.729585,3599,34332.376144
3424.519877,3599,35296.604454
3402.531142,3599,36260.710598
3470.606529,3599,37218.400493
3311.034522,3599,38180.541254
2951.556309,3599,39143.351518
3492.152569,3599,40110.533193
3356.372148,3599,41077.250877
3287.159443,3599,42042.464139
3199.197712,3599,43005.247837
3164.832888,3599,43979.404347
3429.25731,3599,44953.148613
3309.050096,3599,45906.66398
3406.915074,3599,46876.828829
3456.175385,3599,47847.615895
3205.623024,3599,48810.2507
3443.737563,3599,49785.104098
3387.128997,3599,50750.114821
2985.225289,3599,51721.62785
3451.851794,3599,52704.455749
3408.48429,3599,53674.164122
