#{"t_start": 1779872749.9810982, "env_id": "None"}
r,l,t
37.705794,3599,1081.392317
1010.664474,3599,2146.655057
2645.847891,3599,3213.947148
1104.909058,3599,4276.393868
1784.024317,3599,5287.830167
-358.246739,3599,6267.452457
3177.576618,3599,7248.621506
157.267291,3599,8227.745605
1681.329491,3599,9197.030247
1351.82273,3599,10168.724578
-4279.134645,3599,11135.244627
2843.57953,3599,12099.869334
3082.175894,3599,13066.052308
2535.753835,3599,14034.948381
2330.157249,3599,15007.197062
2050.990218,3599,15986.476577
2264.318579,3599,16951.108969
3149.695822,3599,17922.672435
3093.717439,3599,18897.476834
2690.45272,3599,19861.298922
3296.172511,3599,20833.849093
3315.755814,3599,21798.984613
3357.525311,3599,22753.500587
3292.203148,3599,23715.05654
3261.522885,3599,24669.97009
3251.085782,3599,25638.988442
3105.87304,3599,26609.492373
3363.027897,3599,27577.148758
3408.166716,3599,28534.636787
3206.424329,3599,29510.597373
3347.970613,3599,30470.844719
3395.393318,3599,31447.057318
3343.977192,3599,32408.648502
3472.683198,3599,33377.772608
1426.668823,3599,34332.465824
3472.556459,3599,35296.692586
3312.81064,3599,36260.797945
3441.052585,3599,37218.496607
3441.194862,3599,38180.636941
3469.544436,3599,39143.446674
3480.471412,3599,40110.625208
3215.961787,3599,41077.34557
3361.01346,3599,42042.553291
3336.495691,3599,43005.336568
3420.552557,3599,43979.483808
3245.026366,3599,44953.244864
3104.900531,3599,45906.697371
3421.731092,3599,46876.924545
3181.938221,3599,47847.705661
3394.363064,3599,48810.346329
3450.823697,3599,49785.200645
3422.153751,3599,50750.210418
3295.048904,3599,51721.713195
3420.694148,3599,52704.544786
3411.902254,3599,53674.252676
