#{"t_start": 1778314516.0566225, "env_id": "None"}
r,l,t
-299.620744,3599,1141.75365
-170.243622,3599,2320.178196
-6696.753346,3599,3494.194821
-11091.205368,3599,4698.423944
-6734.312244,3599,5896.405248
-1938.885584,3599,7091.381467
-1513.258339,3599,8248.870718
2253.315451,3599,9386.995771
2142.906819,3599,10531.849244
-7247.496555,3599,11669.197843
-3799.992986,3599,12796.113451
-1699.502951,3599,13940.345325
-4542.049642,3599,15086.835574
-5721.563859,3599,16216.989932
1495.193985,3599,17354.213341
-10346.386473,3599,18509.097562
-2689.276859,3599,19672.266333
-306.905836,3599,20811.407243
-6734.900302,3599,21969.213838
-202.909177,3599,23115.581895
366.432953,3599,24263.253407
2043.662281,3599,25390.478026
975.196161,3599,26530.115031
2482.829984,3599,27663.112595
-672.549406,3599,28803.477636
923.898221,3599,29947.369741
87.006837,3599,31103.355036
-26.396423,3599,32242.065666
-1451.36699,3599,33381.349288
-9830.288804,3599,34514.245283
-382.548146,3599,35667.825474
-2098.698071,3599,36812.905134
2482.297577,3599,37812.173959
919.32657,3599,38951.743416
1709.956608,3599,40086.59396
411.372717,3599,41204.853642
65.544049,3599,42326.358247
