Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 43.010082
Total NOx (mg): 22583.394
Overall NOx (mg/km): 525.072
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.179754,8410.051,826.155,False
medium,433,15.475626,3222.792,208.250,False
high,455,13.737494,10381.438,755.701,False
extra_high,323,3.617208,569.113,157.335,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 3918.00, False
2, 342.94, False
3, 711.80, False
4, 677.52, False
5, 643.35, False
6, 548.73, False
7, 478.58, False
8, 416.79, False
9, 351.91, False
10, 290.49, False
11, 478.04, False
12, 223.30, False
13, 218.59, False
14, 216.70, False
15, 216.28, False
16, 217.12, False
17, 218.92, False
18, 221.37, False
19, 224.25, False
20, 227.41, False
21, 308.80, False
22, 74.96, True
23, 92.41, False
24, 111.51, False
25, 138.54, False
26, 166.40, False
27, 194.04, False
28, 223.63, False
29, 254.84, False
30, 288.60, False
31, 330.30, False
32, 367.22, False
33, 569.63, False
34, 1769.91, False
35, 1546.62, False
36, 1373.01, False
37, 1224.09, False
38, 1108.38, False
39, 995.78, False
40, 597.72, False
41, 4.88, True
42, 0.00, True
Partial (0.64 km), 0.00, True
