#{"t_start": 1778314500.9200146, "env_id": "None"}
r,l,t
-11321.021868,3599,930.847782
-23.212586,3599,1925.902357
-2571.748619,3599,2934.414233
-245.326319,3599,3917.826569
-4082.187095,3599,4898.995188
-3967.757917,3599,5893.917847
-970.111343,3599,6884.909055
-11428.031728,3599,7883.881986
-4015.001498,3599,8885.554732
-2205.710598,3599,9866.007459
-1670.787158,3599,10839.439663
-1389.551255,3599,11835.584128
-1893.422005,3599,12815.322018
-247.946182,3599,13787.098825
-8461.878147,3599,14773.046005
-14168.173425,3599,15751.618071
-12400.741515,3599,16753.470338
-752.363032,3599,17739.331885
-173.389519,3599,18744.341972
-1748.030523,3599,19731.685838
-4408.857668,3599,20705.078222
-647.20923,3599,21719.19802
107.559501,3599,22706.001988
322.362975,3599,23696.686163
-2274.171462,3599,24683.086016
244.711484,3599,25672.326492
926.309677,3599,26669.698717
930.79097,3599,27672.013955
1576.608596,3599,28656.335586
1889.632141,3599,29673.566053
1197.833962,3599,30674.798725
926.093537,3599,31659.290292
1739.339252,3599,32676.659579
1979.068498,3599,33688.47027
-3507.679283,3599,34683.777908
-10370.879532,3599,35677.485842
-3202.253068,3599,36600.722399
