Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.433599
Total NOx (mg): 2990.878
Overall NOx (mg/km): 72.185
Overall NOx pass (<=80 mg/km): True

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.123406,1386.317,136.942,False
medium,433,14.374696,734.937,51.127,True
high,455,13.397626,767.472,57.284,True
extra_high,323,3.537871,102.152,28.874,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 614.69, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 83.40, False
6, 0.00, True
7, 0.00, True
8, 0.00, True
9, 257.59, False
10, 417.55, False
11, 229.07, False
12, 62.99, True
13, 60.59, True
14, 35.30, True
15, 23.10, True
16, 21.52, True
17, 21.24, True
18, 22.43, True
19, 24.56, True
20, 149.09, False
21, 11.27, True
22, 15.56, True
23, 17.59, True
24, 37.31, True
25, 54.55, True
26, 58.24, True
27, 58.08, True
28, 58.09, True
29, 58.40, True
30, 58.65, True
31, 58.65, True
32, 59.59, True
33, 77.15, True
34, 51.50, True
35, 49.04, True
36, 54.36, True
37, 55.31, True
38, 51.31, True
39, 60.54, True
40, 11.92, True
41, 9.49, True
Partial (0.14 km), 8.75, True
