#{"t_start": 1778506727.1923242, "env_id": "None"}
r,l,t
1416.872722,3599,756.14767
-7656.935117,3599,1620.012938
-6051.951495,3599,2487.556621
-13679.295101,3599,3369.163337
-1773.201126,3599,4230.791795
-2487.416258,3599,5106.403636
-3706.414541,3599,6075.117283
-5356.667025,3599,6936.137224
-2253.630662,3599,7788.795023
1906.303451,3599,8630.859313
-5616.183594,3599,9480.492971
-10960.109823,3599,10327.05517
-18491.698421,3599,11178.86478
-5197.505158,3599,12109.03624
-12637.244894,3599,12956.263223
-1024.410676,3599,13802.647567
-5443.982686,3599,14647.11492
534.885829,3599,15489.851159
-9546.396357,3599,16338.143175
-2443.374325,3599,17182.17131
-8597.437858,3599,18118.743225
1882.936749,3599,18956.928403
-4775.879437,3599,19807.649287
2352.893467,3599,20642.708351
-1331.690539,3599,21478.922914
-8241.423931,3599,22326.748699
-347.833592,3599,23176.475917
-4341.1291,3599,24089.043109
-6739.00391,3599,24915.094188
427.301801,3599,25749.548146
-2196.317788,3599,26577.934908
286.025687,3599,27417.151366
-4081.980704,3599,28254.076691
-1106.353748,3599,29098.275998
-10320.34643,3599,30090.791
-907.761018,3599,31015.394922
-1835.786961,3599,31942.766931
-1309.742346,3599,32871.829096
-455.38964,3599,33768.831118
-2958.767844,3599,34683.84846
-2652.094991,3599,35600.763503
-23736.402419,3599,36621.700198
1202.790401,3599,37532.191569
2289.629897,3599,38462.043091
-2700.259523,3599,39352.692019
-559.56649,3599,40273.551628
625.10063,3599,41182.799316
-819.551191,3599,42094.831898
-9557.64677,3599,43108.879358
296.547887,3599,44036.492927
-6335.346266,3599,44918.420255
-6930.553958,3599,45714.811755
-270.765123,3599,46496.384043
-737.488751,3599,47287.300239
1821.217705,3599,48064.181201
