Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.460246
Total NOx (mg): 6811.204
Overall NOx (mg/km): 164.283
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,11.042552,4393.446,397.865,False
medium,433,14.221307,1639.811,115.307,False
high,455,12.977836,727.576,56.063,True
extra_high,323,3.218552,50.370,15.650,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1105.63, False
2, 287.58, False
3, 251.11, False
4, 266.00, False
5, 286.20, False
6, 212.37, False
7, 268.23, False
8, 299.95, False
9, 390.97, False
10, 475.49, False
11, 549.91, False
12, 999.83, False
13, 119.06, False
14, 127.50, False
15, 83.67, False
16, 115.96, False
17, 9.61, True
18, 6.95, True
19, 5.87, True
20, 11.32, True
21, 102.74, False
22, 13.16, True
23, 12.06, True
24, 17.11, True
25, 14.35, True
26, 7.26, True
27, 18.35, True
28, 31.25, True
29, 29.67, True
30, 15.85, True
31, 6.03, True
32, 90.28, False
33, 123.55, False
34, 112.42, False
35, 89.00, False
36, 78.97, True
37, 70.13, True
38, 55.95, True
39, 48.12, True
40, 1.73, True
41, 0.00, True
Partial (0.20 km), 0.00, True
