#{"t_start": 1779792158.261566, "env_id": "None"}
r,l,t
-3147.854232,3599,723.224458
-612.008525,3599,1598.2127
-981.569535,3599,2466.892532
-1598.072422,3599,3319.848191
-2206.978217,3599,4181.216171
-5013.824776,3599,5028.94079
-6147.84136,3599,5872.592247
-419.134265,3599,6712.596666
1028.68941,3599,7547.714323
-311.618219,3599,8385.377642
-114.405632,3599,9210.603274
-17515.852641,3599,10052.280288
-320.927866,3599,10872.024274
-3459.268083,3599,11693.873921
835.962148,3599,12513.375955
-513.290466,3599,13332.649395
-1353.685583,3599,14163.044336
-845.845226,3599,15007.157779
-9764.846865,3599,15832.808812
-986.881149,3599,16665.172331
807.41815,3599,17500.644399
-7211.949741,3599,18324.832234
312.571861,3599,19154.332393
-1253.274617,3599,19989.339643
1546.339011,3599,20814.152158
-248.704477,3599,21634.128181
-2260.760651,3599,22475.218938
-9778.691733,3599,23303.380285
1754.327303,3599,24118.000231
-1576.167861,3599,24953.652894
-2165.545318,3599,25784.404341
-3743.442126,3599,26623.844513
830.033077,3599,27451.496295
-971.234476,3599,28276.108837
341.565953,3599,29112.201139
-123.592402,3599,29948.297144
-1047.935814,3599,30771.028702
-3745.617796,3599,31606.916907
-8287.340122,3599,32443.196497
-780.256644,3599,33268.817641
-5139.530427,3599,34105.56004
-2213.957718,3599,34941.75234
-9955.394806,3599,35775.608155
-9116.917263,3599,36599.952407
-419.008584,3599,37431.16852
-906.607522,3599,38281.165557
-533.807302,3599,39108.28489
291.525801,3599,39946.472783
-513.863767,3599,40769.000864
-484.424736,3599,41598.564754
456.575411,3599,42424.616454
-4623.360844,3599,43243.245319
-30.115136,3599,44087.756444
-2725.530516,3599,44916.929472
-3961.49286,3599,45638.783958
