Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.730488
Total NOx (mg): 3999.391
Overall NOx (mg/km): 98.192
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,10.013019,2069.028,206.634,False
medium,433,14.156250,837.423,59.156,True
high,455,13.066119,1068.379,81.767,False
extra_high,323,3.495100,24.560,7.027,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 927.73, False
2, 343.32, False
3, 215.11, False
4, 213.17, False
5, 135.38, False
6, 14.81, True
7, 73.20, True
8, 53.44, True
9, 57.95, True
10, 36.16, True
11, 115.40, False
12, 0.00, True
13, 0.37, True
14, 22.11, True
15, 49.64, True
16, 66.28, True
17, 74.40, True
18, 76.30, True
19, 75.69, True
20, 210.75, False
21, 42.13, True
22, 40.12, True
23, 38.79, True
24, 23.35, True
25, 25.84, True
26, 41.56, True
27, 40.13, True
28, 64.72, True
29, 41.76, True
30, 34.10, True
31, 106.35, False
32, 657.86, False
33, 39.67, True
34, 17.22, True
35, 0.00, True
36, 0.00, True
37, 0.00, True
38, 24.28, True
39, 0.28, True
40, 0.00, True
Partial (0.50 km), 0.00, True
