Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 41.139269
Total NOx (mg): 5097.520
Overall NOx (mg/km): 123.909
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.838730,2636.158,267.937,False
medium,433,14.284229,1127.838,78.957,True
high,455,13.423099,915.192,68.180,True
extra_high,323,3.593212,418.331,116.423,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 404.28, False
2, 0.00, True
3, 0.00, True
4, 0.00, True
5, 426.16, False
6, 371.41, False
7, 480.33, False
8, 426.23, False
9, 335.85, False
10, 242.78, False
11, 203.73, False
12, 48.48, True
13, 85.81, False
14, 98.43, False
15, 93.34, False
16, 80.72, False
17, 67.34, True
18, 59.92, True
19, 59.20, True
20, 241.17, False
21, 0.04, True
22, 0.12, True
23, 9.60, True
24, 33.29, True
25, 57.08, True
26, 72.16, True
27, 80.98, False
28, 84.53, False
29, 85.17, False
30, 84.19, False
31, 75.46, True
32, 115.63, False
33, 96.32, False
34, 61.05, True
35, 39.57, True
36, 28.95, True
37, 24.54, True
38, 131.61, False
39, 72.99, True
40, 92.72, False
Partial (0.81 km), 155.36, False
