number,value,state,datetime_start,datetime_complete,duration_s,w_emission,w_soc_squared,rmse_speed_kmph,total_nox_g,max_abs_soc_drift,rms_soc_drift,delta_soc,rmse_penalty,soc_penalty
0,4.7706379890441895,TrialState.COMPLETE,2026-05-11 15:40:02.990427,2026-05-11 22:44:37.793432,25474.803005,0.6821311264810682,159.32517673840252,3.1028512540829816,4.7706379890441895,0.046381354331970215,0.028529338538646698,-0.046381354331970215,0.0,0.0
1,4.110984802246094,TrialState.COMPLETE,2026-05-11 15:40:03.147445,2026-05-11 22:39:49.317112,25186.169667,1.1846463062234172,92.85891420802596,3.164193684415335,4.110984802246094,0.0397791862487793,0.029151765629649162,-0.029442310333251953,0.0,0.0
2,5.85728120803833,TrialState.COMPLETE,2026-05-11 15:40:03.220657,2026-05-12 03:26:01.125469,42357.904812,1.2322189833572679,143.89084433044,3.1120724663808104,5.85728120803833,0.040759384632110596,0.0279171671718359,-0.035902321338653564,0.0,0.0
3,3.8899452686309814,TrialState.PRUNED,2026-05-11 15:40:03.736015,2026-05-12 15:54:33.756716,87270.020701,0.45680444226198635,211.39958089313512,,,,,,,
4,4.299112319946289,TrialState.COMPLETE,2026-05-11 15:40:04.044556,2026-05-11 22:32:53.036866,24768.99231,1.02312810466328,166.06722669047937,3.295011288560437,4.299112319946289,0.027937650680541992,0.02001769095659256,-0.02390134334564209,0.0,0.0
5,4.59761381149292,TrialState.COMPLETE,2026-05-11 15:40:05.005303,2026-05-11 22:45:06.487150,25501.481847,0.4447959550694842,194.02411529060856,3.2580020469024205,4.59761381149292,0.027977406978607178,0.016827762126922607,-0.027977406978607178,0.0,0.0
6,4.746379375457764,TrialState.COMPLETE,2026-05-11 15:40:06.024779,2026-05-11 22:38:21.483130,25095.458351,0.5174665203139509,124.55715472188272,3.2174628796767055,4.746379375457764,0.045583486557006836,0.027898618951439857,-0.03353261947631836,0.0,0.0
7,4.386280536651611,TrialState.COMPLETE,2026-05-11 15:40:07.051150,2026-05-12 03:25:02.793048,42295.741898,0.5380052439788773,49.23559757705239,3.088814369755533,4.386280536651611,0.04767203330993652,0.03352455049753189,-0.03092271089553833,0.0,0.0
8,4.757370948791504,TrialState.COMPLETE,2026-05-11 15:40:08.053330,2026-05-11 22:40:24.572692,25216.519362,0.7019192933498054,231.4413734773057,3.34281158602337,4.757370948791504,0.04127860069274902,0.023238912224769592,-0.04127860069274902,0.0,0.0
9,4.979060821491572,TrialState.COMPLETE,2026-05-11 15:40:09.116776,2026-05-12 03:15:59.803195,41750.686419,1.1670948691057217,245.91124714399413,3.3129269386019433,4.88187313079834,0.05985838174819946,0.03241347894072533,-0.038477420806884766,0.0,0.09718769069323224
10,9.52584264145628,TrialState.COMPLETE,2026-05-11 22:32:53.048366,2026-05-12 04:52:13.052369,22760.004003,0.5809043253902613,58.11930515221714,3.063307317819291,9.483709335327148,0.05649101734161377,0.033851925283670425,-0.03834390640258789,0.0,0.042133306129130646
11,3.271691083908081,TrialState.PRUNED,2026-05-11 22:38:21.493805,2026-05-12 04:05:11.968039,19610.474234,0.6723267562961694,238.6969091719336,,,,,,,
12,5.275139808654785,TrialState.COMPLETE,2026-05-11 22:39:49.324312,2026-05-12 04:52:16.534672,22347.21036,1.1795482662630499,163.79626854871083,3.1881258939015105,5.275139808654785,0.04156011343002319,0.02657894790172577,-0.03951174020767212,0.0,0.0
13,6.201188087463379,TrialState.COMPLETE,2026-05-11 22:40:24.579469,2026-05-12 05:19:15.435741,23930.856272,0.3247913109489192,65.50739821113547,3.106274669854711,6.201188087463379,0.037787675857543945,0.02383890189230442,-0.03647613525390625,0.0,0.0
14,4.145627021789551,TrialState.COMPLETE,2026-05-11 22:44:37.803726,2026-05-12 05:06:15.787725,22897.983999,1.2484832199790818,40.12098119901622,3.1055930326682883,4.145627021789551,0.04740363359451294,0.033294569700956345,-0.044908881187438965,0.0,0.0
15,4.263847777144889,TrialState.COMPLETE,2026-05-11 22:45:06.497755,2026-05-12 05:10:21.092941,23114.595186,1.246712332592881,32.349776536932744,3.056383608186831,4.007899761199951,0.065998375415802,0.0502777174115181,-0.05149483680725098,0.0,0.25594801594493777
16,4.322571277618408,TrialState.COMPLETE,2026-05-12 03:15:59.812929,2026-05-12 11:00:34.718910,27874.905981,0.9561889336175065,42.30982517297477,3.0482891897548754,4.322571277618408,0.04254728555679321,0.02520162984728813,-0.031208813190460205,0.0,0.0
17,3.2605369091033936,TrialState.PRUNED,2026-05-12 03:25:02.803201,2026-05-12 08:35:23.167688,18620.364487,0.923253625245602,87.72862919294411,,,,,,,
18,3.463995933532715,TrialState.PRUNED,2026-05-12 03:26:01.133865,2026-05-12 07:42:25.012632,15383.878767,0.9341131402329852,71.41028367892956,,,,,,,
19,5.755007743835449,TrialState.COMPLETE,2026-05-12 15:54:33.769613,2026-05-13 05:32:29.327478,49075.557865,1.0725072911576978,105.26433748069553,3.064074597793763,5.755007743835449,0.04677116870880127,0.02873576618731022,-0.03171682357788086,0.0,0.0
