Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 40.716342
Total NOx (mg): 4110.985
Overall NOx (mg/km): 100.966
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.841436,3018.778,306.742,False
medium,433,14.148012,517.912,36.607,True
high,455,13.190469,369.490,28.012,True
extra_high,323,3.536425,204.805,57.913,True

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 984.37, False
2, 419.43, False
3, 479.38, False
4, 504.47, False
5, 345.80, False
6, 110.18, False
7, 77.17, True
8, 46.50, True
9, 31.10, True
10, 25.02, True
11, 245.47, False
12, 0.00, True
13, 0.28, True
14, 6.06, True
15, 9.52, True
16, 10.44, True
17, 10.85, True
18, 11.22, True
19, 11.58, True
20, 207.86, False
21, 0.00, True
22, 0.00, True
23, 0.00, True
24, 0.00, True
25, 0.00, True
26, 0.00, True
27, 0.00, True
28, 0.87, True
29, 4.61, True
30, 8.34, True
31, 121.44, False
32, 55.46, True
33, 61.94, True
34, 42.47, True
35, 30.38, True
36, 25.00, True
37, 22.71, True
38, 47.21, True
39, 56.11, True
40, 73.93, True
Partial (0.36 km), 66.83, True
