#{"t_start": 1778532024.3333535, "env_id": "None"}
r,l,t
-254868.514725,3599,374.949419
-49135.940403,3599,782.62141
-9312.29097,3599,1175.533386
-76303.403267,3599,1566.261488
-152997.546815,3599,1926.685647
-51509.893864,3599,2321.404375
-288687.721679,3599,2824.506092
-82464.883073,3599,3227.170212
-37163.558792,3599,3589.893567
-1007.971739,3599,3985.316342
-13411.672941,3599,4381.037435
-62497.498972,3599,4768.666343
-73846.416314,3599,5131.420273
2714.96643,3599,5622.021409
-40895.006644,3599,6008.898331
2151.261061,3599,6401.334248
-2193.029144,3599,6758.389413
-2000.079448,3599,7148.389487
2516.117095,3599,7534.310476
2913.3306,3599,7925.531868
2963.769453,3599,8380.721459
2457.872952,3599,8784.901424
2756.935311,3599,9182.884018
3119.865473,3599,9581.577458
3308.943495,3599,9944.48944
3263.747179,3599,10340.883328
3096.456957,3599,10731.97813
3123.636164,3599,11222.73342
3170.646,3599,11572.99579
2773.419556,3599,11977.768072
3038.458878,3599,12364.181306
3252.222294,3599,12754.7216
2532.756244,3599,13111.449426
2873.965047,3599,13504.277871
3223.626886,3599,13998.729461
3318.514307,3599,14388.653417
3115.719806,3599,14784.649482
3235.808351,3599,15153.633338
3047.027258,3599,15550.013379
3329.467617,3599,15953.967869
3119.214847,3599,16346.361516
3128.419826,3599,16813.557381
3284.143274,3599,17202.969531
3281.707406,3599,17605.386729
3426.788043,3599,18002.673546
3243.969598,3599,18357.501417
3305.112581,3599,18753.165932
3074.399749,3599,19154.301318
