#{"t_start": 1778593712.7952545, "env_id": "None"}
r,l,t
-21776.266644,3599,910.956107
-2136.716343,3599,1794.033138
1639.745289,3599,2661.348595
1799.803062,3599,3537.040552
2221.786733,3599,4406.876549
3131.461669,3599,5285.132499
1328.231804,3599,6231.534834
1723.86467,3599,7121.488522
2426.191105,3599,7995.329244
1239.817992,3599,8871.298814
2447.38064,3599,9757.651645
2726.954227,3599,10630.54948
995.030171,3599,11517.220527
3187.771214,3599,12462.828493
2841.319243,3599,13344.449237
3046.568308,3599,14225.723793
3390.929109,3599,15106.984797
3133.800483,3599,15984.465537
2346.699378,3599,16856.025796
3369.876969,3599,17742.297973
3126.095762,3599,18685.900508
2889.814671,3599,19564.73738
3299.017267,3599,20440.530196
2817.81403,3599,21311.588666
3195.874995,3599,22178.117114
3115.579843,3599,23051.192495
3218.43468,3599,23939.352517
3074.703059,3599,24885.247
3282.509987,3599,25755.620006
2916.305879,3599,26579.288455
3087.617067,3599,27375.816982
3244.538625,3599,28168.719746
2823.144327,3599,28972.192477
2926.342603,3599,29772.995734
3304.322165,3599,30645.906081
3181.046013,3599,31445.28685
2921.98527,3599,32253.573159
3487.23159,3599,33065.557668
3380.081648,3599,33876.549492
3469.3084,3599,34682.547237
3234.390446,3599,35478.994438
3243.373711,3599,36365.941766
3338.803634,3599,37176.104104
3415.257945,3599,37990.577603
3447.596989,3599,38790.273722
3430.616948,3599,39590.186026
3428.664203,3599,40392.905131
3293.613403,3599,41197.84037
3485.165968,3599,42084.329248
3271.939811,3599,42882.449586
3319.671186,3599,43697.541296
3507.387796,3599,44509.277246
3321.704756,3599,45314.66932
3155.423295,3599,46126.321671
3182.21873,3599,46932.104133
