Emissions Summary
=================
Samples used: 3599
Step size (dt): 0.500 s
Total distance (km): 38.874076
Total NOx (mg): 21100.613
Overall NOx (mg/km): 542.794
Overall NOx pass (<=80 mg/km): False

NOx by WLTC phase
=================
phase,duration_s,distance_km,nox_mg,nox_mg_per_km,pass_80mg_per_km
low,589,9.017444,3407.148,377.840,False
medium,433,14.038229,1821.561,129.757,False
high,455,12.787233,15228.524,1190.916,False
extra_high,323,3.031170,643.380,212.255,False

NOx per km segments
====================
Kilometer, NOx (mg/km), NOx_Pass (<=80 mg/km)
1, 1019.04, False
2, 803.84, False
3, 642.90, False
4, 554.17, False
5, 138.41, False
6, 102.75, False
7, 68.09, True
8, 45.00, True
9, 34.09, True
10, 291.43, False
11, 7.47, True
12, 15.95, True
13, 18.85, True
14, 19.16, True
15, 18.36, True
16, 17.54, True
17, 16.94, True
18, 16.22, True
19, 162.87, False
20, 238.36, False
21, 262.89, False
22, 327.74, False
23, 559.00, False
24, 1324.11, False
25, 1209.58, False
26, 1608.87, False
27, 1632.49, False
28, 1648.68, False
29, 1635.79, False
30, 1700.13, False
31, 1880.59, False
32, 966.93, False
33, 657.81, False
34, 462.12, False
35, 265.18, False
36, 139.08, False
37, 417.89, False
38, 121.82, False
Partial (0.56 km), 87.40, False
