#{"t_start": 1778506758.306065, "env_id": "None"}
r,l,t
-38070.91181,3599,924.1542
-2119.314151,3599,1942.439352
-54328.002335,3599,2986.806128
-22184.576069,3599,4039.972345
-12995.959608,3599,5059.807357
-372.47394,3599,6111.090644
-1488.705534,3599,7236.338298
-659.712224,3599,8248.393899
-408.198032,3599,9262.303077
-1316.200752,3599,10259.173896
-2969.620886,3599,11267.00709
-1479.545332,3599,12316.838119
-1467.354874,3599,13320.925998
-24236.343043,3599,14453.493442
-6115.619472,3599,15442.159163
-8167.23546,3599,16434.297801
-6340.159876,3599,17450.810275
-3656.155554,3599,18464.017503
-7672.305521,3599,19457.398095
-9976.934701,3599,20450.221226
-4162.216151,3599,21555.045712
-217.900527,3599,22559.794118
-797.513472,3599,23560.658071
-3401.349048,3599,24576.978908
-1433.058865,3599,25575.729342
1285.854527,3599,26588.726022
2692.290364,3599,27580.417455
466.296897,3599,28696.888885
2514.994293,3599,29751.037836
1646.282088,3599,30865.726313
-11477.937341,3599,31974.338465
1417.748797,3599,33077.417834
841.504723,3599,34193.818695
2141.311487,3599,35317.114482
-2472.236216,3599,36552.322588
1041.914409,3599,37661.950063
1848.644383,3599,38768.373365
2840.749003,3599,39879.121137
1393.237429,3599,40988.549931
868.652878,3599,42109.448373
794.091736,3599,43236.994371
1321.317854,3599,44472.253921
1788.936292,3599,45490.847929
2418.212283,3599,46440.013286
1524.696,3599,47413.089147
1485.894328,3599,48359.321228
1001.156513,3599,49320.513203
2821.583939,3599,50271.19027
2915.706512,3599,51315.139362
2661.034196,3599,52279.253224
2327.359154,3599,53245.976965
2968.413407,3599,54197.184877
2255.320695,3599,55128.229667
2550.164765,3599,56062.717894
2674.62751,3599,56999.737634
