#{"t_start": 1772572627.218292, "env_id": "None"}
r,l,t
-5047.440938,3600,12.84569
-4992.061927,3600,20.043242
-4999.111448,3600,32.66771
-4434.972572,3600,56.955688
-3798.950322,3600,81.209476
-2908.754273,3600,105.559774
-2587.205247,3600,129.957126
-2949.858523,3600,154.244016
-6138.264686,3600,178.70838
-3739.777813,3600,203.143757
-3187.532621,3600,227.558105
-3299.712198,3600,251.979962
-3282.642554,3600,276.39921
-3178.377284,3600,300.89364
-3403.56659,3600,325.416242
-3486.383924,3600,350.09334
-3988.194175,3600,374.6445
-3420.069481,3600,399.082637
-3312.553142,3600,423.682349
-3386.27461,3600,448.176983
-3630.883574,3600,472.835581
-3267.990035,3600,497.485437
-3356.280562,3600,522.098643
-3470.840978,3600,546.773983
-3203.270686,3600,571.552781
-3265.239324,3600,596.184871
-3683.807829,3600,620.897855
-3645.23835,3600,645.621895
-3603.050445,3600,670.307587
-3439.17181,3600,694.954982
-3422.720406,3600,719.674424
-3459.221787,3600,744.355654
-3546.875202,3600,769.030479
-3470.065882,3600,793.688161
-3768.342523,3600,818.290211
-3391.888575,3600,842.911655
-3447.729711,3600,867.574988
-3604.650464,3600,892.316192
-3733.001927,3600,917.044363
-3753.584408,3600,941.771507
-3547.83653,3600,966.773479
-3579.853652,3600,991.556577
-3550.25219,3600,1016.348097
-3325.012757,3600,1041.283163
-3303.515927,3600,1065.987184
-3566.802813,3600,1090.687814
-3634.248254,3600,1115.45364
-3744.982296,3600,1140.218044
-3580.995332,3600,1164.871753
-3453.492113,3600,1189.545686
-3516.94741,3600,1214.624664
-3575.177808,3600,1239.380977
-3703.301199,3600,1264.241149
-3813.76883,3600,1289.086549
-3879.259049,3600,1314.005781
-3196.290465,3600,1338.956071
-3402.296261,3600,1363.778525
-3435.109699,3600,1388.585332
-3506.183513,3600,1413.411043
-3527.318744,3600,1438.222923
-3476.860967,3600,1463.230912
-3504.626467,3600,1488.095566
-3434.795846,3600,1512.751259
-3487.040235,3600,1537.519727
-3670.615786,3600,1562.293209
-3499.20963,3600,1587.193631
-3269.762113,3600,1612.093621
-3392.421914,3600,1636.831654
-3700.424197,3600,1661.676641
-3324.904206,3600,1686.355224
-3486.147332,3600,1711.206238
-3539.606804,3600,1736.002187
-3476.901854,3600,1760.648668
-3341.410572,3600,1785.503028
-3409.474622,3600,1810.20604
-3410.734705,3600,1834.996134
-3438.002301,3600,1859.862889
-3321.971796,3600,1884.702535
-3355.155799,3600,1909.52629
-3532.057331,3600,1934.344089
-3568.617608,3600,1959.162179
-3446.797932,3600,1983.936006
-3400.015591,3600,2008.68095
-3492.394336,3600,2033.535884
-3324.004464,3600,2058.340999
-3715.293097,3600,2083.166196
-3410.296447,3600,2107.978512
-3795.07656,3600,2132.765988
-4008.756983,3600,2157.560165
-3841.591449,3600,2182.143691
-3440.996035,3600,2206.90247
-3590.845581,3600,2231.765069
-3632.683915,3600,2256.781373
-3428.271775,3600,2281.531518
-3437.878781,3600,2306.289932
-3575.81501,3600,2331.01186
-3635.57967,3600,2355.855395
-3901.522675,3600,2380.637999
-3417.905153,3600,2405.486752
-3790.953319,3600,2430.311005
-3565.189386,3600,2455.16612
-3803.085376,3600,2479.895114
-3535.483694,3600,2504.543836
-4175.371761,3600,2529.386644
-3553.718886,3600,2554.086241
-4082.644602,3600,2578.851172
-4169.178269,3600,2603.91842
-3473.888001,3600,2628.657209
-3905.077233,3600,2653.494575
-4005.041012,3600,2678.303708
-3836.025084,3600,2703.148931
-3806.95011,3600,2727.936935
-4208.300436,3600,2752.475125
-3865.792518,3600,2777.329591
-3570.064159,3600,2802.27515
-3586.249067,3600,2827.128244
-3445.429268,3600,2851.963367
-3634.864299,3600,2876.706138
-3704.709154,3600,2901.531934
-3867.596528,3600,2926.349435
-3902.461788,3600,2951.094756
-3858.530773,3600,2975.888123
-4279.923396,3600,3000.624581
-3610.783327,3600,3025.374625
-3361.786469,3600,3050.164842
-3172.29608,3600,3074.868354
-3652.939213,3600,3099.629295
-3889.952582,3600,3124.413264
-3840.9463,3600,3149.193977
-3902.850719,3600,3173.950633
-3492.071062,3600,3198.730907
-3474.470582,3600,3223.650375
-3615.043854,3600,3248.392178
-3478.079636,3600,3273.393528
-3530.219281,3600,3298.327671
-3823.26916,3600,3323.23484
-3436.349321,3600,3348.07506
-3441.78271,3600,3372.780662
-3374.201692,3600,3397.811184
-3487.964531,3600,3422.587231
-3495.467584,3600,3447.373708
-3937.093981,3600,3472.148355
-3592.554003,3600,3497.012844
-3637.918852,3600,3521.690918
-4175.683121,3600,3546.407725
-4495.882064,3600,3571.264219
