#{"t_start": 1772472992.1478243, "env_id": "None"}
r,l,t
-4486.401418,3600,8.191382
-4561.582248,3600,14.762037
-4117.378837,3600,23.187049
-3011.058427,3600,38.12338
-2663.078893,3600,52.846769
-3171.889863,3600,67.64368
-2923.214577,3600,82.482168
-2719.443683,3600,97.230163
-2692.482524,3600,112.069407
-2282.123558,3600,126.841492
-2799.338156,3600,141.762765
-2280.547281,3600,156.690345
-2108.377453,3600,171.563014
-1838.616375,3600,186.47777
-2033.211008,3600,201.389358
-1953.387875,3600,216.340092
-2100.390894,3600,231.304117
-1780.579857,3600,246.265093
-1731.555979,3600,261.274594
-1626.614415,3600,276.228811
-1404.551213,3600,291.446577
-1422.04184,3600,306.455677
-1286.39329,3600,321.428388
-1142.3199,3600,336.4508
-1030.248476,3600,351.405984
-924.213673,3600,366.447042
-1007.157129,3600,381.481211
-888.478486,3600,396.485155
-904.120237,3600,411.497253
-946.469644,3600,426.432174
-812.904927,3600,441.432338
-852.651906,3600,456.453969
-966.384246,3600,471.447086
-954.768705,3600,486.480773
-1215.253566,3600,501.46958
-1101.368617,3600,516.504061
-1464.818208,3600,531.558181
-1855.204412,3600,546.762059
-1751.113661,3600,561.811144
-1147.562367,3600,576.838924
-1625.503453,3600,591.917352
-2688.653297,3600,606.999622
-1830.252611,3600,621.996696
-1207.13688,3600,637.06675
-1326.25844,3600,652.101511
-1153.692688,3600,667.177504
-1045.815532,3600,682.271345
-941.064629,3600,697.286957
-889.282934,3600,712.377437
-723.793155,3600,727.397256
-1025.184651,3600,742.488684
-1095.788696,3600,757.533348
-892.114464,3600,772.784877
-980.518396,3600,787.878268
-812.095263,3600,802.906367
-738.004555,3600,818.042612
-987.747345,3600,833.136151
-854.423647,3600,848.158493
-843.968199,3600,863.21506
-813.782399,3600,878.215971
-575.397568,3600,893.283547
-502.116911,3600,908.304778
-586.683813,3600,923.289181
-625.545185,3600,938.352298
-638.814985,3600,953.337116
-788.60181,3600,968.377597
-711.259139,3600,983.439197
-651.180515,3600,998.45312
-1008.55492,3600,1013.738887
-804.73985,3600,1028.735874
-655.905011,3600,1043.814372
-2437.594997,3600,1058.899574
-1500.841234,3600,1073.946379
-589.58129,3600,1089.047045
-965.323545,3600,1104.062448
-567.684218,3600,1119.118885
-478.813714,3600,1134.200445
-826.417551,3600,1149.190701
-1802.698045,3600,1164.247144
-2851.45971,3600,1179.283783
-2659.947756,3600,1194.396771
-2626.076406,3600,1209.49508
-1057.949337,3600,1224.51027
-834.985984,3600,1239.654888
-909.930652,3600,1254.678605
-613.719287,3600,1269.976225
-2960.503157,3600,1285.093219
-2477.342936,3600,1300.153774
-2418.580943,3600,1315.276933
-2423.616553,3600,1330.32065
-2228.032258,3600,1345.432857
-2321.24509,3600,1360.539358
-1228.816367,3600,1375.569878
-1082.690885,3600,1390.688975
-1035.674829,3600,1405.717556
-723.872498,3600,1420.791399
-857.783308,3600,1435.894638
-750.544126,3600,1450.878029
-719.556082,3600,1465.94894
-751.790514,3600,1480.96348
-700.420172,3600,1496.072599
-754.736785,3600,1511.332646
-915.352037,3600,1526.334107
-874.862436,3600,1541.433206
-808.087216,3600,1556.479315
-901.370539,3600,1571.583057
-1178.106331,3600,1586.682527
-757.366829,3600,1601.722362
-1443.779837,3600,1616.805526
-1112.007181,3600,1631.858025
-1113.97266,3600,1646.953771
-879.95884,3600,1662.098606
-852.590925,3600,1677.100369
-840.749808,3600,1692.188011
-749.88433,3600,1707.217172
-670.147472,3600,1722.244343
-918.114069,3600,1737.487861
-865.956714,3600,1752.47227
-1190.179629,3600,1767.548048
-1352.758891,3600,1782.579903
-1253.841778,3600,1797.627588
-1347.389324,3600,1812.679153
-1076.762526,3600,1827.704508
-1166.068246,3600,1842.82804
-1003.364911,3600,1857.863896
-1208.798067,3600,1872.962909
-1063.471178,3600,1888.071395
-1091.000249,3600,1903.094482
-988.623405,3600,1918.162503
-981.059601,3600,1933.171203
-962.892822,3600,1948.20962
-1266.028284,3600,1963.498898
-2161.612216,3600,1978.481685
-2184.674297,3600,1993.502968
-1532.311501,3600,2008.411853
-1473.091764,3600,2023.378688
-1535.561883,3600,2038.525885
-1449.666184,3600,2053.486226
-1702.104308,3600,2068.607373
-1880.938351,3600,2083.538608
-1415.333695,3600,2098.365115
-1414.035849,3600,2113.611904
-1479.723049,3600,2128.499073
-1211.850624,3600,2143.52599
-1315.714189,3600,2158.496963
-1354.751377,3600,2173.59425
-1564.921915,3600,2188.686631
-1820.206999,3600,2203.706595
-3014.143274,3600,2218.787095
-3205.630854,3600,2233.835018
-1808.357105,3600,2248.941724
-1013.993099,3600,2264.015585
-1075.25547,3600,2279.057181
-1063.436327,3600,2294.143498
-1079.218336,3600,2309.172799
-1283.98878,3600,2324.258052
-1343.707874,3600,2339.332082
-1245.264958,3600,2354.335397
-1252.742007,3600,2369.611174
-1275.659228,3600,2384.68107
-1432.948331,3600,2399.796892
-1236.940841,3600,2414.891104
-1589.894238,3600,2429.906304
-1142.338581,3600,2445.012426
-1038.398549,3600,2460.038317
-956.401735,3600,2475.115255
-1059.201391,3600,2490.276346
-1005.529268,3600,2505.292675
-949.444258,3600,2520.385509
-1093.860378,3600,2535.429107
-1126.392834,3600,2550.499419
-1248.045221,3600,2565.566519
-1315.028457,3600,2580.592312
-2123.806305,3600,2595.897776
-1304.174723,3600,2610.934677
-1295.258343,3600,2626.057159
-1282.405005,3600,2641.134684
-1359.089542,3600,2656.145056
-1523.201486,3600,2671.2652
-1516.986278,3600,2686.291614
-1492.077138,3600,2701.411879
-1492.908966,3600,2716.5039
-1771.511031,3600,2731.558904
-1897.236326,3600,2746.653678
-1630.146595,3600,2761.693248
-1952.888283,3600,2776.785348
-1930.352749,3600,2791.901782
-1738.002772,3600,2806.960077
-1835.464554,3600,2822.257191
-1771.198573,3600,2837.285342
-1506.045576,3600,2852.36464
-1855.000092,3600,2867.469698
