ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,30.0,298.0,1.0,2500.0,0.0,NaN,0.0
3547.78,21.832779,298.0,1.0,3547.78,0.0,NaN,6.540683
3981.2415,7.3212905,298.0,1.0,3981.2415,0.0,NaN,6.7770095
4162.1553,11.372023,298.0,1.0,4162.1553,0.0,NaN,11.65691
3737.9062,10.396835,298.0,1.0,3737.9062,0.0,NaN,15.929445
4012.8542,15.056458,298.0,1.0,4012.8542,0.0,NaN,15.382567
4209.463,13.056585,298.0,1.0,4209.463,0.0,NaN,9.372648
4010.1223,13.981829,298.0,1.0,4010.1223,0.0,NaN,11.499333
4436.998,10.191058,298.0,1.0,4436.998,0.0,NaN,11.31959
4293.9473,9.830675,298.0,1.0,4293.9473,0.0,NaN,11.072853
4357.5547,8.984019,298.0,1.0,4357.5547,0.0,NaN,3.876853
3638.1702,12.061185,298.0,1.0,3638.1702,0.0,NaN,4.235044
4173.565,10.432431,298.0,1.0,4173.565,0.0,NaN,5.9101253
3858.558,8.585185,298.0,1.0,3858.558,0.0,NaN,3.3943832
4230.2085,6.398458,298.0,1.0,4230.2085,0.0,NaN,4.405755
4205.699,11.428034,298.0,1.0,4205.699,0.0,NaN,7.579437
3990.332,13.205702,298.0,1.0,3990.332,0.0,NaN,15.652722
4258.4585,5.4880433,298.0,1.0,4258.4585,0.0,NaN,15.784717
4119.7812,10.5619335,298.0,1.0,4119.7812,0.0,NaN,7.4676304
4021.0813,11.528077,298.0,1.0,4021.0813,0.0,NaN,11.311966
4176.7114,13.107028,298.0,1.0,4176.7114,0.0,NaN,5.924478
4246.884,11.768844,298.0,1.0,4246.884,0.0,NaN,13.81664
4204.3125,11.285441,298.0,1.0,4204.3125,0.0,NaN,9.525004
3896.741,11.758501,298.0,1.0,3896.741,0.0,NaN,10.360325
4109.46,10.687567,298.0,1.0,4109.46,0.0,NaN,9.197807
4500.0,12.443669,298.0,1.0,4500.0,0.0,NaN,10.365266
4500.0,12.35611,298.0,1.0,4500.0,0.0,NaN,17.299664
3987.036,10.389186,298.0,1.0,3987.036,0.0,NaN,19.130745
4333.4126,20.412622,298.0,1.0,4333.4126,0.0,NaN,13.087362
4386.3823,11.487873,298.0,1.0,4386.3823,0.0,NaN,14.531666
4453.4023,14.228613,298.0,1.0,4453.4023,0.0,NaN,6.6143603
4500.0,9.341205,298.0,1.0,4500.0,0.0,NaN,2.4313898
4203.5244,8.47601,298.0,1.0,4203.5244,0.0,NaN,4.262051
4258.579,3.7395804,298.0,1.0,4258.579,0.0,NaN,11.552623
4491.946,6.8185196,298.0,1.0,4491.946,0.0,NaN,12.251407
4257.303,10.320785,298.0,1.0,4257.303,0.0,NaN,9.870184
4110.7183,13.926117,298.0,1.0,4110.7183,0.0,NaN,10.693926
4406.742,14.782741,298.0,1.0,4406.742,0.0,NaN,1.1458069
4085.4504,8.590139,298.0,1.0,4085.4504,0.0,NaN,8.684317
4189.6816,9.047248,298.0,1.0,4189.6816,0.0,NaN,12.40209
