step,mf,torque
0,3,-31.64301872253418
1,3,-13.811932563781738
2,3,-18.56428337097168
3,3,-20.72088050842285
4,3,-16.220151901245117
5,3,-12.957324981689453
6,3,-10.191930770874023
7,3,-10.834223747253418
8,3,-10.690925598144531
9,3,-10.905159950256348
10,3,-11.940895080566406
11,3,-12.970597267150879
12,3,-13.543315887451172
13,3,-13.280545234680176
14,3,-12.254411697387695
15,3,-10.783512115478516
16,3,-9.309758186340332
17,3,-8.141175270080566
18,3,-7.138341426849365
19,3,-6.122472763061523
20,3,-5.132333755493164
21,3,-4.3391618728637695
22,3,-3.850720167160034
23,3,-3.652393341064453
24,3,-3.6319148540496826
25,3,-3.6696767807006836
26,3,-3.682541847229004
27,3,-3.6428253650665283
28,3,-3.560163736343384
29,3,-3.4633114337921143
30,3,-3.380105972290039
31,3,-3.3296830654144287
32,3,-3.3191463947296143
33,3,-3.3459808826446533
34,3,-3.4011282920837402
35,3,-3.4738991260528564
36,3,-3.553586721420288
37,3,-3.6318979263305664
38,3,-3.703784942626953
39,3,-3.7667670249938965
40,3,-3.820673942565918
41,3,-3.8674428462982178
42,3,-3.9103713035583496
43,3,-3.9526538848876953
44,3,-3.9989302158355713
45,3,-4.05234432220459
46,3,-4.116549491882324
47,3,-4.193722248077393
48,3,-4.285476207733154
49,3,-4.392524719238281
50,3,-4.515107154846191
51,3,-4.652576446533203
52,3,-4.804049015045166
53,3,-4.968284606933594
54,3,-5.143822193145752
55,3,-5.329402923583984
56,3,-5.523684978485107
57,3,-5.725308895111084
58,3,-5.933764934539795
59,3,-6.1479644775390625
60,3,-6.3677215576171875
61,3,-6.592696189880371
62,3,-6.82290506362915
63,3,-7.0582122802734375
64,3,-7.298379898071289
65,3,-7.542694091796875
66,3,-7.789693355560303
67,3,-8.037100791931152
68,3,-8.280921936035156
69,3,-8.51616096496582
70,3,-8.73563003540039
71,3,-8.932053565979004
72,3,-9.097970962524414
73,3,-9.227538108825684
74,3,-9.318187713623047
75,3,-9.371856689453125
76,3,-9.39484977722168
77,3,-9.39602279663086
78,3,-9.385315895080566
79,3,-9.37061595916748
80,3,-9.35666275024414
81,3,-9.345259666442871
82,3,-9.335862159729004
83,3,-9.326684951782227
84,3,-9.316130638122559
85,3,-9.302348136901855
86,3,-9.284979820251465
87,3,-9.263260841369629
88,3,-9.237497329711914
89,3,-9.208181381225586
90,3,-9.175398826599121
91,3,-9.140067100524902
92,3,-9.102169036865234
93,3,-9.062299728393555
94,3,-9.020544052124023
95,3,-8.977021217346191
96,3,-8.932358741760254
97,3,-8.886150360107422
98,3,-8.838956832885742
99,3,-8.790879249572754
100,3,-8.742240905761719
101,3,-8.69304084777832
102,3,-8.643569946289062
103,3,-8.593945503234863
104,3,-8.544270515441895
105,3,-8.494901657104492
106,3,-8.445786476135254
107,3,-8.39718246459961
108,3,-8.349087715148926
109,3,-8.301434516906738
110,3,-8.254648208618164
111,3,-8.208559036254883
112,3,-8.16326904296875
113,3,-8.118623733520508
114,3,-8.074811935424805
115,3,-8.031560897827148
116,3,-7.988870143890381
117,3,-7.946672439575195
118,3,-7.904458045959473
119,3,-7.862311363220215
120,3,-7.819450855255127
121,3,-7.775757789611816
122,3,-7.7305521965026855
123,3,-7.683256149291992
124,3,-7.632748603820801
125,3,-7.578161716461182
126,3,-7.5183916091918945
127,3,-7.4524359703063965
128,3,-7.379035949707031
129,3,-7.297444820404053
130,3,-7.207764625549316
131,3,-7.110708236694336
132,3,-7.010015487670898
133,3,-6.910614013671875
134,3,-6.821120738983154
135,3,-6.751340866088867
136,3,-6.710570812225342
137,3,-6.704061985015869
138,3,-6.731235980987549
139,3,-6.7866387367248535
140,3,-6.862519264221191
141,3,-6.952794551849365
142,3,-7.053062915802002
143,3,-7.161063194274902
144,3,-7.274876117706299
145,3,-7.393158435821533
146,3,-7.5136332511901855
147,3,-7.634515762329102
148,3,-7.753529071807861
149,3,-7.869160175323486
150,3,-7.979828834533691
151,3,-8.084294319152832
152,3,-8.18203067779541
153,3,-8.272713661193848
154,3,-8.35608959197998
155,3,-8.431986808776855
156,3,-8.500763893127441
157,3,-8.562590599060059
158,3,-8.617772102355957
159,3,-8.666563987731934
160,3,-8.709185600280762
161,3,-8.745996475219727
162,3,-8.777181625366211
163,3,-8.803149223327637
164,3,-8.823831558227539
165,3,-8.839517593383789
166,3,-8.850394248962402
167,3,-8.856512069702148
168,3,-8.85805892944336
169,3,-8.854999542236328
170,3,-8.847640991210938
171,3,-8.835779190063477
172,3,-8.82000732421875
173,3,-8.799885749816895
174,3,-8.775923728942871
175,3,-8.748307228088379
176,3,-8.717360496520996
177,3,-8.683473587036133
178,3,-8.646747589111328
179,3,-8.608068466186523
180,3,-8.56746768951416
181,3,-8.525898933410645
182,3,-8.483582496643066
183,3,-8.441300392150879
184,3,-8.399510383605957
185,3,-8.358808517456055
186,3,-8.319567680358887
187,3,-8.28195858001709
188,3,-8.246559143066406
189,3,-8.213589668273926
190,3,-8.182930946350098
191,3,-8.15499210357666
192,3,-8.129652976989746
193,3,-8.106846809387207
194,3,-8.086708068847656
195,3,-8.06911849975586
196,3,-8.054129600524902
197,3,-8.041536331176758
198,3,-8.031679153442383
199,3,-8.024372100830078
200,3,-8.019885063171387
201,3,-8.018441200256348
202,3,-8.020445823669434
203,3,-8.026411056518555
204,3,-8.036913871765137
205,3,-8.052736282348633
206,3,-8.074931144714355
207,3,-8.104619979858398
208,3,-8.142841339111328
209,3,-8.191123008728027
210,3,-8.250025749206543
211,3,-8.320451736450195
212,3,-8.401924133300781
213,3,-8.492522239685059
214,3,-8.58857536315918
215,3,-8.684968948364258
216,3,-8.773085594177246
217,3,-8.843851089477539
218,3,-8.886321067810059
219,3,-8.891096115112305
220,3,-8.849663734436035
221,3,-8.757654190063477
222,3,-8.614049911499023
223,3,-8.421688079833984
224,3,-8.187315940856934
225,3,-7.919600009918213
226,3,-7.628907680511475
227,3,-7.325724124908447
228,3,-7.0198211669921875
229,3,-6.719815731048584
230,3,-6.432097434997559
231,3,-6.161560535430908
232,3,-5.911297798156738
233,3,-5.6828227043151855
234,3,-5.476508140563965
235,3,-5.291810989379883
236,3,-5.127422332763672
237,3,-4.982271194458008
238,3,-4.854183197021484
239,3,-4.742002010345459
240,3,-4.643704891204834
241,3,-4.5582051277160645
242,3,-4.4839558601379395
243,3,-4.419699192047119
244,3,-4.3643479347229
245,3,-4.317238807678223
246,3,-4.277352809906006
247,3,-4.24436616897583
248,3,-4.217463493347168
249,3,-4.196356296539307
250,3,-4.180772304534912
251,3,-4.170337677001953
252,3,-4.164882183074951
253,3,-4.164304733276367
254,3,-4.168519020080566
255,3,-4.1773223876953125
256,3,-4.19074821472168
257,3,-4.208898544311523
258,3,-4.231314182281494
259,3,-4.258267879486084
260,3,-4.289605617523193
261,3,-4.325294494628906
262,3,-4.365197658538818
263,3,-4.4092817306518555
264,3,-4.4574103355407715
265,3,-4.509243965148926
266,3,-4.564764976501465
267,3,-4.624025344848633
268,3,-4.686412334442139
269,3,-4.751994609832764
270,3,-4.820346832275391
271,3,-4.8912482261657715
272,3,-4.964375972747803
273,3,-5.039322376251221
274,3,-5.116018772125244
275,3,-5.193684101104736
276,3,-5.272165298461914
277,3,-5.350986003875732
278,3,-5.429687976837158
279,3,-5.507880210876465
280,3,-5.585103511810303
281,3,-5.6607465744018555
282,3,-5.734655857086182
283,3,-5.80606746673584
284,3,-5.874878406524658
285,3,-5.940596580505371
286,3,-6.002542018890381
287,3,-6.0609354972839355
288,3,-6.11513090133667
289,3,-6.165095329284668
290,3,-6.210606575012207
291,3,-6.251682758331299
292,3,-6.288153171539307
293,3,-6.319950103759766
294,3,-6.347396373748779
295,3,-6.3704071044921875
296,3,-6.389305114746094
297,3,-6.404107093811035
298,3,-6.415238857269287
299,3,-6.423056125640869
300,3,-6.427610874176025
301,3,-6.429497241973877
302,3,-6.428766250610352
