ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,3.0,298.0,1.0,2500.0,0.0,NaN,0.0
3741.6055,8.664644,298.0,1.0,3741.6055,0.0,NaN,9.727916
4337.7515,7.6842427,298.0,1.0,4337.7515,0.0,NaN,0.9876609
3932.5203,5.47675,298.0,1.0,3932.5203,0.0,NaN,2.8152466
4269.06,4.862929,298.0,1.0,4269.06,0.0,NaN,9.762984
4330.671,12.255094,298.0,1.0,4330.671,0.0,NaN,9.670061
4465.0093,3.1116028,298.0,1.0,4465.0093,0.0,NaN,1.7776102
4338.7773,4.443862,298.0,1.0,4338.7773,0.0,NaN,8.737537
4034.7869,8.894207,298.0,1.0,4034.7869,0.0,NaN,5.9682817
4186.0615,9.059309,298.0,1.0,4186.0615,0.0,NaN,13.813236
4218.4136,6.865006,298.0,1.0,4218.4136,0.0,NaN,12.668371
4398.1055,10.759236,298.0,1.0,4398.1055,0.0,NaN,3.0178905
3968.8228,8.767159,298.0,1.0,3968.8228,0.0,NaN,11.6667185
4120.458,7.9277134,298.0,1.0,4120.458,0.0,NaN,9.24285
4436.531,7.8795877,298.0,1.0,4436.531,0.0,NaN,3.291601
4345.348,8.660002,298.0,1.0,4345.348,0.0,NaN,15.913206
4377.2324,5.342863,298.0,1.0,4377.2324,0.0,NaN,5.760354
4210.3696,6.1810875,298.0,1.0,4210.3696,0.0,NaN,7.66339
4381.2593,12.259646,298.0,1.0,4381.2593,0.0,NaN,8.149946
3999.1025,11.511648,298.0,1.0,3999.1025,0.0,NaN,10.105747
4033.7253,8.224457,298.0,1.0,4033.7253,0.0,NaN,11.501253
4297.592,6.7441583,298.0,1.0,4297.592,0.0,NaN,5.6902437
4006.5703,10.916309,298.0,1.0,4006.5703,0.0,NaN,5.4232926
4272.004,15.040996,298.0,1.0,4272.004,0.0,NaN,7.717195
4274.2144,12.964847,298.0,1.0,4274.2144,0.0,NaN,6.641918
4375.4473,18.608973,298.0,1.0,4375.4473,0.0,NaN,14.338964
4429.884,8.014696,298.0,1.0,4429.884,0.0,NaN,0.0
4137.9575,13.110091,298.0,1.0,4137.9575,0.0,NaN,1.6721219
4438.3276,15.628808,298.0,1.0,4438.3276,0.0,NaN,10.0650015
4058.3198,8.409734,298.0,1.0,4058.3198,0.0,NaN,2.8624713
4057.6523,6.223163,298.0,1.0,4057.6523,0.0,NaN,0.0
4042.8074,4.6760745,298.0,1.0,4042.8074,0.0,NaN,4.6864657
4412.2793,7.4378095,298.0,1.0,4412.2793,0.0,NaN,6.7085
4213.005,7.0254993,298.0,1.0,4213.005,0.0,NaN,4.825756
4500.0,5.642578,298.0,1.0,4500.0,0.0,NaN,8.162072
4390.546,8.831269,298.0,1.0,4390.546,0.0,NaN,15.903223
4449.8438,10.031968,298.0,1.0,4449.8438,0.0,NaN,17.026281
4337.2646,15.208506,298.0,1.0,4337.2646,0.0,NaN,11.847758
