ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
2500.0,40.0,298.0,1.0,2500.0,0.0,NaN,0.0
3507.0566,31.989887,298.0,1.0,3507.0566,0.0,NaN,10.428656
4023.3113,25.951864,298.0,1.0,4023.3113,0.0,NaN,8.378238
4031.1287,18.946312,298.0,1.0,4031.1287,0.0,NaN,5.0727396
3952.2073,12.956123,298.0,1.0,3952.2073,0.0,NaN,4.5139017
4008.4333,5.0644994,298.0,1.0,4008.4333,0.0,NaN,9.545621
4500.0,11.441284,298.0,1.0,4500.0,0.0,NaN,8.14617
4500.0,4.4496107,298.0,1.0,4500.0,0.0,NaN,3.4820943
4500.0,8.383439,298.0,1.0,4500.0,0.0,NaN,3.0927777
4361.9844,7.244114,298.0,1.0,4361.9844,0.0,NaN,0.0
4500.0,9.030841,298.0,1.0,4500.0,0.0,NaN,5.8871655
4410.539,12.576124,298.0,1.0,4410.539,0.0,NaN,7.721555
4500.0,10.488227,298.0,1.0,4500.0,0.0,NaN,9.906655
4268.506,9.156448,298.0,1.0,4268.506,0.0,NaN,13.126927
3956.3909,10.009117,298.0,1.0,3956.3909,0.0,NaN,1.7663121
3545.7766,10.711498,298.0,1.0,3545.7766,0.0,NaN,0.0
3898.552,6.961663,298.0,1.0,3898.552,0.0,NaN,0.030761957
4223.8164,13.46735,298.0,1.0,4223.8164,0.0,NaN,9.012404
4226.937,16.577402,298.0,1.0,4226.937,0.0,NaN,16.141834
4293.4443,10.919722,298.0,1.0,4293.4443,0.0,NaN,10.293436
4353.6626,12.703224,298.0,1.0,4353.6626,0.0,NaN,15.426919
3864.1611,16.370087,298.0,1.0,3864.1611,0.0,NaN,17.661926
3909.969,14.710333,298.0,1.0,3909.969,0.0,NaN,12.807658
3958.4922,12.881382,298.0,1.0,3958.4922,0.0,NaN,18.374353
