Time,T_amb,p_amb,ICE_Speed_soll,fuel,EM2_Torque,Brake,ICE_Torque_pred,NO_out_m_pred,NO2_out_m_pred,CO_out_m_pred,CO2_out_m_pred,Car_Speed_pred,SOC_pred
0.0,298,1,2500,3,0,0,-30.630964,0.0018296624,1.4443291e-05,0.0006936188,0.0030266684,-0.8912333,0.5005361
0.5,298,1,2500,3,0,0,-14.259137,9.114454e-05,-2.2155373e-05,-0.00031851954,0.0012984237,0.30497062,0.50075877
1.0,298,1,2500,3,0,0,-18.509756,0.00082270504,1.3379391e-05,0.0342465,0.013135116,-2.2527807,0.49978286
1.5,298,1,2500,3,0,0,-20.953018,0.0036913927,7.725585e-05,0.07089842,0.0058534457,-1.2021747,0.4990649
2.0,298,1,2500,3,0,0,-16.195757,0.0049524284,8.642212e-05,0.08270184,0.0054626246,-0.60900295,0.4989251
2.5,298,1,2500,3,0,0,-12.996761,0.004328124,6.949755e-05,0.080983356,0.0013104564,-0.31609097,0.49878582
3.0,298,1,2500,3,0,0,-10.176135,0.004424691,6.917858e-05,0.074616075,-0.00081139745,-0.44693634,0.49877107
3.5,298,1,2500,3,0,0,-10.854661,0.004051612,6.918811e-05,0.06881112,-0.0040465193,-0.70726186,0.49884826
4.0,298,1,2500,3,0,0,-10.665817,0.0037922405,7.112977e-05,0.067860626,-0.003613626,-0.9494294,0.49898565
4.5,298,1,2500,3,0,0,-10.908567,0.0034216691,6.7278364e-05,0.07061289,-0.0014725424,-1.0806804,0.49915898
5.0,298,1,2500,3,0,0,-11.940531,0.003339614,6.412902e-05,0.07470823,0.0010961147,-1.0862054,0.49935576
5.5,298,1,2500,3,0,0,-12.978782,0.003204856,5.9798112e-05,0.077997684,0.002846206,-1.0069504,0.49956125
6.0,298,1,2500,3,0,0,-13.541251,0.00304686,5.6159228e-05,0.07982279,0.004851886,-0.8840562,0.499751
6.5,298,1,2500,3,0,0,-13.272754,0.0028316036,5.334984e-05,0.08026961,0.007750063,-0.741263,0.49990097
7.0,298,1,2500,3,0,0,-12.239109,0.002619132,5.1893716e-05,0.07974544,0.011786001,-0.5994071,0.5000004
7.5,298,1,2500,3,0,0,-10.767716,0.0023927107,5.102509e-05,0.07891773,0.016567085,-0.48433805,0.50005376
8.0,298,1,2500,3,0,0,-9.297259,0.002198971,5.065424e-05,0.07836987,0.022080598,-0.4214652,0.50007504
8.5,298,1,2500,3,0,0,-8.132892,0.002057035,5.0532082e-05,0.078215376,0.028385712,-0.42597377,0.5000817
