Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,377.90253,1549.9252,-31.157314,-31.157314,-5.057315,-5.057315,-4.499111,-4.499111,4.9978166,312.11215,312.11215,0.16335018,0.16335018,0.4903031,0.4903031,0.31530902,2274.7712,0.0,0.2602147,1.4487603,0.0,1549.9252,647.85345,4.9978166,0.0,0.0
0.5,377.90253,4562.04616,-127.9948205,-127.9948205,-63.5614018,-63.5614018,-59.2352197,-59.2352197,34.624923,312.11215,312.11215,1.131691679,1.131691679,3.21476967,3.21476967,0.315440936,2274.7712,0.006276327306,1.80276991,1.59498812,0.0,4562.04616,1918.51833,34.624923,-0.15375845,0.00038524088
1.0,377.90253,5316.02277,-157.067235,-157.067235,-87.4379752,-87.4379752,-81.923441,-81.923441,90.3946525,312.11215,312.11215,2.95448663,2.95448663,7.80844438,7.80844438,0.315812592,2274.7712,0.406377348,4.70645845,1.5925895,0.0,5316.02277,2264.81703,90.3946525,-10.13402829,0.0413461841
1.5,377.90253,5257.386759999999,-157.65636,-157.65636,-86.7980569,-86.7980569,-81.2683782,-81.2683782,144.0444425,312.11215,312.11215,4.70799309,4.70799309,11.61352025,11.61352025,0.316190642,2274.7712,1.031573265,7.49977125,1.51051284,0.0,5257.386759999999,2271.74395,144.0444425,-25.7639261,0.158272926
2.0,377.90253,5186.597250000001,-157.644523,-157.644523,-85.6229319,-85.6229319,-80.1018815,-80.1018815,194.825367,312.11215,312.11215,6.3677323,6.3677323,14.6846429,14.6846429,0.31655119,2274.7712,1.65676919,10.143714,1.42719027,0.0,5186.597250000001,2271.93853,194.825367,-41.3938243,0.34047281
2.5,377.90253,5119.54688,-157.621518,-157.621518,-84.5037012,-84.5037012,-78.9893521,-78.9893521,242.722265,312.11215,312.11215,7.93320922,7.93320922,16.7964598,16.7964598,0.316896967,2274.7712,2.2819651,12.63749825,1.34368639,0.0,5119.54688,2272.00507,242.722265,-57.0237225,0.582276495
3.0,377.90253,5056.53584,-157.59828,-157.59828,-83.4513291,-83.4513291,-77.9427888,-77.9427888,287.73016,312.11215,312.11215,9.40426105,9.40426105,18.4246062,18.4246062,0.317050419,2274.7712,2.907161,14.98086435,1.2600694,0.0,5056.53584,2272.06544,287.73016,-72.6513619,0.877976734
3.5,377.90253,4997.57326,-157.575098,-157.575098,-82.4660954,-82.4660954,-76.9644648,-76.9644648,329.846848,312.11215,312.11215,10.780816,10.780816,19.7411586,19.7411586,0.316816432,2274.7712,3.52609512,17.1736982,1.17715938,0.0,4997.57326,2272.12229,329.846848,-88.1272205,1.21969831
4.0,377.90253,4941.79554,-157.564307,-157.564307,-81.5401005,-81.5401005,-76.0458765,-76.0458765,369.729169,310.045505,310.045505,12.00206535,12.00206535,20.6564808,20.6564808,0.316569995,2274.7712,3.7511754,19.2501988,1.13938302,0.0,4941.79554,2272.19971,369.729169,-93.77939,1.45237819
4.5,377.90253,4887.29417,-157.557098,-157.557098,-80.637136,-80.637136,-75.1512194,-75.1512194,408.660968,301.937305,301.937305,12.918548,12.918548,21.1662294,21.1662294,0.316323586,2274.7712,3.7511754,21.2772084,1.11183159,0.0,4887.29417,2272.25334,408.660968,-93.77939,1.60531091
5.0,377.90253,4834.17997,-157.549047,-157.549047,-79.7567109,-79.7567109,-74.2790143,-74.2790143,446.599322,293.440255,293.440255,13.720799,13.720799,21.6917066,21.6917066,0.316077215,2274.7712,3.7511754,23.2524947,1.08292666,0.0,4834.17997,2272.30399,446.599322,-93.77939,1.75434119
5.5,377.90253,4782.467149999999,-157.540988,-157.540988,-78.899491,-78.899491,-73.4264993,-73.4264993,483.536934,284.943224,284.943224,14.425673,14.425673,22.0509334,22.0509334,0.31583087,2274.7712,3.7511754,25.1756756,1.05393934,0.0,4782.467149999999,2272.3535,483.536934,-93.77939,1.89944025
6.0,377.90253,4732.159259999999,-157.532907,-157.532907,-78.0655242,-78.0655242,-72.5977445,-72.5977445,519.471097,276.446185,276.446185,15.0357635,15.0357635,22.2675197,22.2675197,0.315584562,2274.7712,3.7511754,27.0466134,1.02487921,0.0,4732.159259999999,2272.4018,519.471097,-93.77939,2.0405977
6.5,377.90253,4683.25951,-157.524814,-157.524814,-77.254865,-77.254865,-71.7932285,-71.7932285,554.399493,267.949153,267.949153,15.5536836,15.5536836,22.3588703,22.3588703,0.315338279,2274.7712,3.7511754,28.8651831,0.995755811,0.0,4683.25951,2272.44859,554.399493,-93.77939,2.17780422
7.0,377.90253,4686.77644,-156.455061,-156.455061,-76.787415,-76.787415,-71.36249,-71.36249,588.291523,259.4521,259.4521,15.9812918,15.9812918,22.3856698,22.3856698,0.315092032,2297.76405,3.7511754,30.6297945,0.964733628,0.0,4686.77644,2293.70135,588.291523,-93.77939,2.31093958
7.5,377.90253,4764.885560000001,-156.380483,-156.380483,-78.0303779,-78.0303779,-72.5993425,-72.5993425,621.133106,250.955064,250.955064,16.3209743,16.3209743,22.4308426,22.4308426,0.314845818,2347.80146,3.7511754,32.3397141,0.935398592,0.0,4764.885560000001,2345.37905,621.133106,-93.77939,2.43994854
