Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,456.96857,1486.1732,-118.624054,-118.624054,-18.46178,-18.46178,-15.065705,-15.065705,5.9136615,346.07874,346.07874,0.21431866,0.21431866,0.6434261,0.6434261,0.13722838,138.42746,0.0,0.30789876,1.7926879,0.0,1486.1732,621.8606,5.9136615,0.0,0.0
0.5,456.96857,935.601904,-203.508318,-203.508318,-20.08734143,-20.08734143,-15.15917997,-15.15917997,42.4557978,346.07874,346.07874,1.538652412,1.538652412,4.3703611,4.3703611,0.13729676,138.42746,0.0,2.21048967,1.9291767,0.0,935.601904,414.100484,42.4557978,0.0,0.0
1.0,456.96857,199.883664,-191.40676,-191.40676,-4.0098689,-4.0098689,-1.80810568,-1.80810568,108.7337382,346.07874,346.07874,3.94064979,3.94064979,10.4305928,10.4305928,0.137270986,138.42746,0.0,5.66129536,1.90770592,0.0,199.883664,146.661898,108.7337382,0.0,0.0
1.5,456.96857,88.330631,-190.68424,-190.68424,-1.76388235,-1.76388235,-0.69863621,-0.69863621,174.43961,346.07874,336.01754,6.32191463,6.11644308,15.3789726,14.8986557,0.137121707,138.42746,0.0,9.08231567,1.87305281,0.0,88.330631,138.609026,174.43961,0.0,0.0
2.0,456.96857,11.154180596,-192.108815,-192.108815,-0.2226904092,-0.2226904092,-0.0693112083,-0.0693112083,236.572427,346.07874,290.105169,8.57368747,7.16848595,17.8705361,14.96434965,0.13690555,138.42746,0.0,12.31730265,1.72580478,0.0,11.154180596,142.774231,236.572427,0.0,0.0
2.5,456.96857,-2.76916234,-209.394109,-200.443079,0.0617569078,0.0599971194,0.17799144489,0.17297762949,294.407628,346.07874,262.564164,10.6697093,8.08460696,19.5803826,14.84741325,0.136686067,138.42746,0.0,15.3285314,1.64980205,0.0,-2.76916234,170.750168,294.407628,0.0,0.0
3.0,456.96857,-1.053055408,-246.496367,-194.276246,0.02625680145,0.02294276987,0.0753659235,0.06590317203,349.651746,346.07874,244.413763,12.6718269,8.9417994,21.0210665,14.84084125,0.136466631,138.42746,0.0,18.2048539,1.57837241,0.0,-1.053055408,203.720893,349.651746,0.0,0.0
3.5,456.96857,-6.5797614095,-292.819455,-189.729742,0.20522233328,0.13084230767,0.5791757404,0.3692733446,402.859911,346.07874,224.463547,14.6001587,9.4592456,22.3547812,14.4910226,0.136247243,138.42746,0.0,20.9751727,1.50511353,0.0,-6.5797614095,232.489042,402.859911,0.0,0.0
4.0,456.96857,-2.143416262,-299.93187,-188.841936,0.067282410723,0.041772457076,0.19121305272,0.11871934933,454.099475,346.07874,211.767345,16.4571462,10.06280795,24.0918419,14.7356445,0.136027906,138.42746,0.0,23.6429953,1.45840158,0.0,-2.143416262,264.253445,454.099475,0.0,0.0
4.5,457.05415,-4.325908726,-299.771699,-195.68177,0.135732869,0.08715417955,0.384986054,0.247212894,503.849176,346.07874,197.509864,18.2601388,10.41716315,25.6351629,14.6268003,0.135808613,138.42746,0.0,26.2332468,1.4216004,0.0,-4.325908726,292.393769,503.849176,0.0,0.0
