Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,253.12402,1369.5431,46.564182,46.564182,6.6783333,6.6783333,7.66519,7.66519,1.7280828,78.00436,78.00436,0.0141160125,0.0141160125,0.04244295,0.04244295,0.24746121,3687.0647,0.0,0.0899738,0.4472134,0.0,1369.5431,570.88605,1.7280828,0.0,0.0
0.5,253.12402,6871.120010000001,-45.2371059,-45.2371059,-41.5305026,-41.5305026,-39.54710739,-39.54710739,11.38555243,78.00436,78.00436,0.0930039943,0.0930039943,0.26814466,0.26814466,0.247493975,3687.0647,0.0,0.592796464,0.55617739,0.0,6871.120010000001,2865.77171,11.38555243,0.0,0.0
1.0,253.12402,8758.5105,-103.8680781,-103.8680781,-95.2731051,-95.2731051,-91.6107649,-91.6107649,32.9402872,78.00436,78.00436,0.269075939,0.269075939,0.727207814,0.727207814,0.247875085,3687.0647,0.0,1.71505826,0.651053508,0.0,8758.5105,3663.71446,32.9402872,0.0,0.0
1.5,253.12402,8762.120050000001,-106.8584841,-106.8584841,-98.0370449,-98.0370449,-94.2775238,-94.2775238,55.525915,78.00436,78.00436,0.453568847,0.453568847,1.146677635,1.146677635,0.248328367,3678.49473,0.0,2.89099417,0.65616768,0.0,8762.120050000001,3678.40405,55.525915,0.0,0.0
2.0,253.12402,7468.072410000001,-125.8751735,-125.8751735,-98.4720967,-98.4720967,-94.027361,-94.027361,78.8350486,78.00436,78.00436,0.643971775,0.643971775,1.52487245,1.52487245,0.248794953,3132.39115,0.0,4.10460004,0.689112847,0.0,7468.072410000001,3153.55131,78.8350486,0.0,0.0
2.5,251.863714,5334.09282,-123.0817035,-123.0817035,-68.9025293,-68.9025293,-64.599103,-64.599103,102.6052681,78.00436,78.00436,0.838141134,0.838141134,1.86398492,1.86398492,0.249195462,2287.58997,0.0,5.34221249,0.682607386,0.0,5334.09282,2279.46588,102.6052681,0.0,0.0
3.0,171.294351,4361.78763,-71.708117,-71.708117,-32.7642713,-32.7642713,-30.7795846,-30.7795846,123.6503375,78.00436,78.00436,1.010049853,1.010049853,2.13195273,2.13195273,0.249460459,1980.3767,0.0,6.43793818,0.499195333,0.0,4361.78763,1887.17054,123.6503375,0.0,0.0
3.5,46.6645078,4353.09896,-19.1536634,-19.1536634,-8.731561784,-8.731561784,-8.15083325,-8.15083325,136.770971,77.7772936,77.7772936,1.11388977,1.11388977,2.27895805,2.27895805,0.249579662,1980.3767,0.0,7.12107273,0.261658944,0.0,4353.09896,1891.21614,136.770971,0.0,0.0
4.0,1.3404337,4500.17432,0.96128192,0.96128192,0.4474812345,0.4474812345,0.5878732104,0.5878732104,142.999703,62.9873796,62.9873796,0.942356641,0.942356641,1.92229945,1.92229945,0.249573762,1980.3767,0.0,7.445376,0.1259015135,0.0,4500.17432,1956.05222,142.999703,0.0,0.0
4.5,1.3404337,4547.03064,-0.527588243,-0.527588243,-0.251220726,-0.251220726,-0.197193999,-0.197193999,146.120905,40.0807725,40.0807725,0.612953058,0.612953058,1.32769925,1.32769925,0.249559349,1980.3767,0.0,7.60788347,0.0543407268,0.0,4547.03064,1977.37189,146.120905,0.0,0.0
5.0,1.3404337,4546.4708,-0.565887017,-0.565887017,-0.269421715,-0.269421715,-0.211479591,-0.211479591,147.428213,34.0433065,34.0433065,0.525620779,0.525620779,1.18388205,1.18388205,0.249550656,1980.3767,0.0,7.67594941,0.0348414512,0.0,4546.4708,1977.90226,147.428213,0.0,0.0
5.5,1.3404337,4544.54341,-0.570697228,-0.570697228,-0.271596727,-0.271596727,-0.213183105,-0.213183105,148.83769,37.6765244,37.6765244,0.587283927,0.587283927,1.2660568,1.2660568,0.249541827,1980.3767,0.0,7.74933472,0.0465867685,0.0,4544.54341,1977.92327,148.83769,0.0,0.0
6.0,1.3404337,4542.13133,-0.571999057,-0.571999057,-0.272071857,-0.272071857,-0.213551369,-0.213551369,150.554269,39.002888,39.002888,0.614919769,0.614919769,1.3074049,1.3074049,0.249532401,1980.3767,0.0,7.8387097,0.0508600585,0.0,4542.13133,1977.92193,150.554269,0.0,0.0
6.5,1.3404337,4539.666999999999,-0.571897947,-0.571897947,-0.27187618,-0.27187618,-0.213393,-0.213393,152.312189,39.002888,39.002888,0.622099773,0.622099773,1.3180978,1.3180978,0.249522801,1980.3767,0.0,7.93023668,0.0508369066,0.0,4539.666999999999,1977.92294,152.312189,0.0,0.0
7.0,1.3404337,4537.207,-0.571888675,-0.571888675,-0.271724443,-0.271724443,-0.213269133,-0.213269133,154.069306,39.002888,39.002888,0.629276494,0.629276494,1.32871216,1.32871216,0.249513107,1980.3767,0.0,8.02172245,0.0508136585,0.0,4537.207,1977.92526,154.069306,0.0,0.0
