Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,12.752481,723.10986,136.62378,136.62378,10.34578,10.34578,15.085497,15.085497,0.46253645,70.74154,70.74154,0.003426487,0.003426487,0.010348171,0.010348171,0.16568393,4511.3267,0.0,0.024082273,0.0010655887,0.0,723.10986,301.16144,0.46253645,0.0,0.0
0.5,12.752481,4091.37576,296.56461,37.9832899,127.8871404,14.454866,135.8729916,15.4487956,0.056567180833,70.74154,9.143794544,0.000419051754,0.000100079449,0.001267394991,0.000302676127,0.165560571,4488.76923,0.0,0.002945208304,0.00185826435,0.0,4091.37576,1702.48472,0.056567180833,0.0,0.0
1.0,12.752481,6867.71434,111.0300509,-10.9906375,78.21909625,-7.30366445,84.4480585,-6.034979,0.869636177737,70.74154,32.84983572,0.006442296859,0.006405178753,0.019292813286,0.019180535245,0.165366807,3045.14553,0.0,0.04527819357,0.131488821992,0.0,6867.71434,2858.21443,0.869636177737,0.0,0.0
1.5,12.752481,2137.5603166,-59.7666888,-59.7666888,-15.455991469,-15.455991469,-14.1948691915,-14.1948691915,9.47789369,70.8601686,70.8601686,0.0703815937,0.0703815937,0.205579001,0.205579001,0.165472839,812.1358936,0.0,0.493472941,0.274121101,0.0,2137.5603166,894.9886918,9.47789369,0.0,0.0
2.0,12.752481,-179.4674592,-2.20830267,-2.20830267,0.03125481205,0.03125481205,0.08885371803,0.08885371803,17.2077909,78.5871225,78.5871225,0.1423188786,0.1423188786,0.405630076,0.405630076,0.165495083,0.0,0.0,0.895935219,0.196033469,0.0,-179.4674592,-64.63023435,17.2077909,0.0,0.0
2.5,12.752481,-39.1942551,-5.20568767,-5.20568767,0.0213374438,0.0213374438,0.0598964938,0.0598964938,24.7656628,90.3946203,90.3946203,0.235184173,0.235184173,0.653658121,0.653658121,0.165489825,0.0,0.0,1.28944095,0.239434381,0.0,-39.1942551,-1.848530895,24.7656628,0.0,0.0
3.0,12.752481,-46.1980987,-5.36413932,-5.36413932,0.0259501968,0.0259501968,0.0724577656,0.0724577656,32.9104105,83.1457933,83.1457933,0.285374794,0.285374794,0.773756315,0.773756315,0.165482608,0.0,0.0,1.71350268,0.216255502,0.0,-46.1980987,-0.00722406358,32.9104105,0.0,0.0
3.5,12.752481,-55.1809888,-5.3501396,-5.3501396,0.0309149433,0.0309149433,0.0859551084,0.0859551084,39.3678842,65.0920951,65.0920951,0.267531099,0.267531099,0.713435711,0.713435711,0.165475136,0.0,0.0,2.0497154,0.157799882,0.0,-55.1809888,0.0253999014,39.3678842,0.0,0.0
4.0,12.752481,-61.9616595,-5.34278702,-5.34278702,0.0346672276,0.0346672276,0.0960774594,0.0960774594,44.2428224,57.2763644,57.2763644,0.265290834,0.265290834,0.700800742,0.700800742,0.165468058,0.0,0.0,2.30353232,0.132473139,0.0,-61.9616595,0.0503533006,44.2428224,0.0,0.0
4.5,12.752481,-68.2078486,-5.34148126,-5.34148126,0.0381525598,0.0381525598,0.1054156234,0.1054156234,48.7147297,55.37061,55.37061,0.282398618,0.282398618,0.738094226,0.738094226,0.16546067,0.0,0.0,2.53636521,0.126287012,0.0,-68.2078486,0.0623815499,48.7147297,0.0,0.0
