Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,324.9618,1231.1401,-48.154602,-48.154602,-6.2083235,-6.2083235,-5.32674,-5.32674,5.2488227,349.94354,349.94354,0.19234836,0.19234836,0.5780437,0.5780437,0.2906057,1263.5272,0.0,0.27328348,1.5362211,0.0,1231.1401,515.35126,5.2488227,0.0,0.0
0.5,324.9618,2700.99581,-123.094683,-123.094683,-35.3074941,-35.3074941,-31.4470767,-31.4470767,36.1631419,349.94354,349.94354,1.325234575,1.325234575,3.80264209,3.80264209,0.290690857,1263.5272,0.0,1.882858364,1.64799914,0.0,2700.99581,1145.019656,36.1631419,0.0,0.0
1.0,324.9618,2897.49142,-135.54102,-135.54102,-41.1262163,-41.1262163,-36.7704894,-36.7704894,93.7345855,349.94354,349.94354,3.43499787,3.43499787,9.2737344,9.2737344,0.290880929,1263.5272,0.0,4.88035437,1.66933994,0.0,2897.49142,1260.39851,93.7345855,0.0,0.0
1.5,324.9618,2820.37719,-135.680413,-135.680413,-40.0730967,-40.0730967,-35.7262693,-35.7262693,151.4432496,349.94354,349.94354,5.54978969,5.54978969,14.09346285,14.09346285,0.291045075,1263.5272,0.0,7.88499456,1.66897207,0.0,2820.37719,1262.0064,151.4432496,0.0,0.0
2.0,285.667538,2589.78779,-126.8726549,-126.8726549,-34.4631564,-34.4631564,-30.4587056,-30.4587056,208.53956,349.94354,349.94354,7.64214137,7.64214137,18.0066192,18.0066192,0.29109698,1218.14671,0.0,10.8577529,1.6070006,0.0,2589.78779,1199.394525,208.53956,0.0,0.0
2.5,162.3133006,807.51893,-79.2249487,-79.2249487,-7.75026779,-7.75026779,-5.98385901,-5.98385901,260.222625,334.852795,334.852795,9.10643615,9.10643615,19.2053679,19.2053679,0.29092276,587.427635,0.0,13.5486664,1.33057093,0.0,807.51893,487.956665,260.222625,0.0,0.0
3.0,97.61447,743.654627,-38.5239309,-38.5239309,-3.00806842,-3.00806842,-2.39660518,-2.39660518,299.744358,279.887733,279.887733,8.7683045,8.7683045,16.30300935,16.30300935,0.29073876,525.4652,0.0,15.6063923,1.005544449,0.0,743.654627,484.458702,299.744358,0.0,0.0
3.5,97.61447,794.346335,-40.7508793,-40.7508793,-3.38974523,-3.38974523,-2.7235268,-2.7235268,331.388752,222.838162,222.838162,7.71910228,7.71910228,12.88837645,12.88837645,0.29061068,525.4652,0.0,17.2539787,0.823980217,0.0,794.346335,524.028829,331.388752,0.0,0.0
4.0,97.61447,761.518859,-40.793814,-40.793814,-3.25315835,-3.25315835,-2.59364333,-2.59364333,356.673231,165.792687,165.792687,6.18159609,6.18159609,9.4480556,9.4480556,0.290527228,525.4652,0.0,18.5704329,0.638742916,0.0,761.518859,525.132501,356.673231,0.0,0.0
4.5,97.61447,735.136838,-40.7441131,-40.7441131,-3.13662806,-3.13662806,-2.48535957,-2.48535957,375.552031,108.747216,108.747216,4.26905349,4.26905349,6.13568543,6.13568543,0.290478873,525.4652,0.0,19.5533697,0.453498292,0.0,735.136838,525.177925,375.552031,0.0,0.0
5.0,97.61447,717.669203,-40.6927082,-40.6927082,-3.05823136,-3.05823136,-2.41337472,-2.41337472,388.029707,51.7044566,51.7044566,2.09640596,2.09640596,3.06906705,3.06906705,0.290460087,525.4652,0.0,20.2030279,0.268445535,0.0,717.669203,525.195124,388.029707,0.0,0.0
5.5,99.430109,712.47815,-41.0111609,-41.0111609,-3.0606193,-3.0606193,-2.41132259,-2.41132259,394.119825,-5.33433786,-5.33433786,-0.221599533,-0.221599533,0.142705196,0.142705196,0.290466727,525.4652,0.0,20.5201142,0.0863667857,0.0,712.47815,526.591064,394.119825,0.0,0.0
6.0,155.351813,814.988352,-63.784629,-63.784629,-5.4694838,-5.4694838,-4.25124058,-4.25124058,395.311065,-62.3861546,-62.3861546,-2.5827053,-2.5827053,-1.81389796,-1.81389796,0.290498814,525.4652,0.0,20.582137,0.0064950977,0.0,814.988352,569.941882,395.311065,0.0,0.0
6.5,236.450397,842.404271,-98.3593765,-98.3593765,-8.67781718,-8.67781718,-6.38846833,-6.38846833,395.029785,-119.431625,-119.431625,-4.94017961,-4.94017961,-3.48462255,-3.48462255,0.290560554,525.4652,0.0,20.567492,-0.0234116312,0.0,842.404271,581.185614,395.029785,0.0,0.0
