Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,167.09186,562.62524,-39.23508,-39.23508,-2.3116748,-2.3116748,-1.7151016,-1.7151016,0.5194664,-22.53071,-22.53071,-0.0012256345,-0.0012256345,-0.00040540582,-0.00040540582,0.555139,182.94267,0.0,0.02704637,0.18421331,0.0,562.62524,234.41583,0.5194664,0.0,0.0
0.5,166.556435,606.683951,-68.3792167,-68.3792167,-4.32371383,-4.32371383,-3.08574313,-3.08574313,4.4526436,-22.53071,-22.53071,-0.01050561388,-0.01050561388,-0.00349269291,-0.00349269291,0.555153232,203.432009,0.02054961624,0.2318298944,0.188332788,0.0,606.683951,255.045541,4.4526436,-0.5009609,0.00015157396
1.0,132.462386,3404.7583,-7.289322186,-7.289322186,-1.66892806,-1.66892806,-1.360155487,-1.360155487,5.76419687,-22.53071,-22.53071,-0.01360010615,-0.01360010615,-0.00452558284,-0.00452558284,0.555170375,1508.124216,1.329080056,0.300116802,-0.143630319,0.0,3404.7583,1420.110724,5.76419687,-33.1313411,0.00710112222
1.5,79.7210585,8400.23705,9.52612376,9.27179196,8.57235087,8.30255617,9.74995157,9.45656987,0.26526883644,-22.2904911,-21.9941421,-0.000625985744,-0.00062694321,-0.000155100998,-0.000157997154,0.555132952,3526.40046,3.82414036,0.013811400472,-0.06490400063,0.0,8400.23705,3495.5555,0.26526883644,-12.77901187,0.000690342829
2.0,60.539642,10348.3554,-27.543138,-27.543138,-29.8521515,-29.8521515,-28.0666525,-28.0666525,0.0302793931,-6.68947067,-6.68947067,-2.1988477e-05,-2.1988477e-05,-2.202517e-06,-2.202517e-06,0.555164482,4260.4243,34.5791127,0.001576517,-7.886544e-05,0.0,10348.3554,4306.04484,0.0302793931,-18.6533166,2.3470407e-05
2.5,60.539642,10228.733,-25.3280731,-25.3280731,-27.1302304,-27.1302304,-25.4185095,-25.4185095,0.0287015016,17.37377732,17.37377732,5.2137542e-05,5.2137542e-05,0.000157707318,0.000157707318,0.555333705,4260.4243,80.5252736,0.00149436303,-8.018819e-06,0.0,10228.733,4256.26812,0.0287015016,-32.9389755,3.9580644e-05
3.0,60.539642,10225.0488,-25.1936712,-25.1936712,-26.9764911,-26.9764911,-25.2693315,-25.2693315,0.0295383589,16.57750565,16.57750565,5.0998672e-05,5.0998672e-05,0.000154263532,0.000154263532,0.55549633,4260.4243,66.0850238,0.00153793457,6.2315699e-05,0.0,10225.0488,4254.73562,0.0295383589,-32.3800682,3.9993734e-05
3.5,60.539642,10224.910249999997,-25.194257,-25.194257,-26.9767527,-26.9767527,-25.2695994,-25.2695994,0.097348682,1.696264443,1.696264443,-1.8412455e-05,-1.8412455e-05,1.909288e-05,1.909288e-05,0.55565876,4260.4243,17.624847621,0.00506852464,0.020385310123,0.0,10224.910249999997,4254.71744,0.097348682,-19.03553605,3.0722758e-05
4.0,60.539642,10222.1068,-25.2149438,-25.2149438,-26.991502,-26.991502,-25.2842015,-25.2842015,2.118143384,-3.744098,-3.744098,-0.000830483813,-0.000830483813,-0.000274548891,-0.000274548891,0.555821244,4260.4243,0.0,0.110282563,0.0787395641,0.0,10222.1068,4254.73096,2.118143384,0.0,0.0
4.5,60.2818276,10218.455,-25.1625554,-25.1625554,-26.9258211,-26.9258211,-25.2207145,-25.2207145,4.37699259,-3.744098,-3.744098,-0.00171613568,-0.00171613568,-0.000567335745,-0.000567335745,0.55598368,4260.4243,0.0,0.227891072,0.0532216478,0.0,10218.455,4254.53007,4.37699259,0.0,0.0
5.0,43.8490007,10185.1493,-18.565358,-18.565358,-19.8047299,-19.8047299,-18.1972782,-18.1972782,5.55009704,-3.744098,-3.744098,-0.0021760877,-0.0021760877,-0.00071939084,-0.00071939084,0.556131731,4260.4243,0.0,0.28896954,0.009553604476,0.0,10185.1493,4241.35646,5.55009704,0.0,0.0
5.5,18.4284281,10175.793,-7.60401313,-7.60401313,-8.10261712,-8.10261712,-6.67889416,-6.67889416,5.07226132,-3.744098,-3.744098,-0.00198873737,-0.00198873737,-0.000657454869,-0.000657454869,0.556217533,4260.4243,0.0,0.264090701,-0.0338250196,0.0,10175.793,4237.18436,5.07226132,0.0,0.0
