Time01,ICE_Torque;Nm,EM1_Speed;rpm,EM1_Torque;Nm,EM1_Torque_ist;Nm,EM1_Power;kW,EM1_Power_ist;kW,EM1_elPower;kW,EM1_elPower_ist;kW,EM2_Speed;rpm,EM2_Torque;Nm,EM2_Torque_ist;Nm,EM2_Power;kW,EM2_Power_ist;kW,EM2_elPower;kW,EM2_elPower_ist;kW,SOC;1,ICE_Speed_soll;rpm,Brake;perc,Car_Speed;kmph,Car_Acc;mpsh2,Grade;perc,Sun_Speed;rpm,Carrier_Speed;rpm,Ring_Speed;rpm,Brake_Trq;Nm,Brake_Pwr;kW
0.0,331.78177,1228.4662,-55.234005,-55.234005,-7.105659,-7.105659,-6.0485287,-6.0485287,0.8558528,-54.687576,-54.687576,-0.004901357,-0.004901357,-0.0016247892,-0.0016247892,0.1276138,1086.2047,0.0,0.04456055,0.29613227,0.0,1228.4662,511.67358,0.8558528,0.0,0.0
0.5,330.118208,2435.92267,-128.7698316,-128.7698316,-33.1398564,-33.1398564,-29.1444741,-29.1444741,7.7709836,-54.687576,-54.687576,-0.0445034089,-0.0445034089,-0.01516215353,-0.01516215353,0.127707645,1086.2047,0.0,0.404601502,0.368163397,0.0,2435.92267,1018.142805,7.7709836,0.0,0.0
1.0,223.952685,2373.493,-95.2488175,-95.2488175,-23.808278,-23.808278,-21.1214452,-21.1214452,18.0311201,-54.687576,-54.687576,-0.1032618702,-0.1032618702,-0.0361330133,-0.0361330133,0.127896209,1086.2047,0.0,0.938802418,0.1728666687,0.0,2373.493,998.1562,18.0311201,0.0,0.0
1.5,59.7261158852,2303.55869,-25.3376324794,-25.3376324794,-6.1169362105,-6.1169362105,-5.55237226,-5.55237226,18.4820218,-54.687576,-54.687576,-0.1058441283,-0.1058441283,-0.0370816832,-0.0370816832,0.12799481,1080.75599,0.0,0.962278913,-0.14325065069,0.0,2303.55869,969.319292,18.4820218,0.0,0.0
2.0,0.0,1713.85433,-10.84265785,-10.84265785,-1.90326341,-1.90326341,-1.60604437,-1.60604437,10.94997292,-54.687576,-54.687576,-0.0627090673,-0.0627090673,-0.02149481585,-0.02149481585,0.128016101,733.188181,0.0,0.570117732,-0.241488333,0.0,1713.85433,719.541046,10.94997292,0.0,0.0
2.5,0.05981876367,456.72122936,-11.20929978,-11.20929978,-0.58377551186,-0.58377551186,-0.41518718852,-0.41518718852,3.160946376,-54.687576,-54.687576,-0.01810232801,-0.01810232801,-0.006068619218,-0.006068619218,0.128025826,195.538370418,0.0,0.16457680365,-0.198658778,0.0,456.72122936,191.890731317,3.160946376,0.0,0.0
3.0,3.87287236,-27.32199976,-0.695488466,-0.695488466,-0.001513972688,-0.001513972688,8.7526808e-05,8.7526808e-05,-2.717021751,-54.687576,-54.687576,0.01556002935,0.01556002935,0.04655402767,0.04655402767,0.128026592,0.0,0.0,-0.1414635667,-0.1410021875,0.0,-27.32199976,-12.955334694,-2.717021751,0.0,0.0
3.5,9.77140012,17.8990558,-4.01338758,-4.01338758,-0.00769008601,-0.00769008601,-0.00270186441,-0.00270186441,-6.57510067,-54.6529989,-54.6529989,0.0376262802,0.0376262802,0.111424528,0.111424528,0.12802586,0.0,0.0,-0.342337053,-0.0877456051,0.0,17.8990558,3.60877636,-6.57510067,0.0,0.0
4.0,11.916531,15.4050163,-5.01184684,-5.01184684,-0.00809214965,-0.00809214965,-0.00284919171,-0.00284919171,-9.2351147,-52.4079737,-52.4079737,0.0506101258,0.0506101258,0.148746381,0.148746381,0.128024686,0.0,0.0,-0.480832465,-0.070045608,0.0,15.4050163,1.0178258315,-9.2351147,0.0,0.0
4.5,13.0732979,17.9678226,-5.13985361,-5.13985361,-0.0100361459,-0.0100361459,-0.00355762251,-0.00355762251,-11.4603605,-48.9264918,-48.9264918,0.0586597938,0.0586597938,0.171417095,0.171417095,0.128023246,0.0,0.0,-0.596691395,-0.0572126474,0.0,17.9678226,0.78492377804,-11.4603605,0.0,0.0
5.0,87.0550985,160.6532145,-34.8196424,-34.8196424,-0.647387778,-0.647387778,-0.328035682,-0.328035682,-11.56319535,-47.65546,-47.65546,0.0577057572,0.0577057572,0.168610864,0.168610864,0.128022641,0.0,0.0,-0.602045563,0.08601281944,0.0,160.6532145,60.0973248,-11.56319535,0.0,0.0
5.5,201.496697,218.445478,-80.4991426,-80.4991426,-1.81172147,-1.81172147,-0.905736406,-0.905736406,-4.853529655,-47.65546,-47.65546,0.02422138434,0.02422138434,0.0718456035,0.0718456035,0.128026963,22.6884902637,0.0,-0.2527022872,0.278724667,0.0,218.445478,88.0628377,-4.853529655,0.0,0.0
