Time;s,ICE_Speed;rpm,ICE_Torque;Nm,ICE_Power;kW,fuel_soll;mg,VTG;1,p_amb;bar,T_amb;K,NO_in_m;gps,NO2_in_m;gps,CO_in_m;gps,NH3_in_m;gps,CO2_in_m;gps,Propylene_in_m;gps2,Diesel_vap_in_m;gps,Diesel_vap_ads_in_m;gps,O2_in_m;gps,N2_in_m;gps,NO_out_m;gps,NO2_out_m;gps,CO_out_m;gps,NH3_out_m;gps,CO2_out_m;gps,Propylene_out_m;gps,Diesel_vap_out_m;gps,Diesel_vap_ads_out_m;gps,T_Wall_SCR1;K,T_avg_SCR1;K,T_Wall_DOC;K,T_avg_DOC;K,T_Wall_DPF;K,T_Sub_DPF;K,T_Wall_SCR2;K,T_avg_SCR2;K,T_Wall_SCR3;K,T_avg_SCR3;K,T_Tailpipe;K,ICE_BSFC;bar,ICE_IMEP_720;bar,ICE_BMEP;bar,Cyl_pmax;bar,Cyl_Tmax;K,Cyl_10_90;CA,mfb50;CA,Cyl_Lambda;1,CombEff;perc,Turb_Speed;rpm,Turb_Power;kW,Turb_Torque;Nm,Turb_brake_Power;kW,fuel_mf_c1;gps,fuel_mf_c2;gps,fuel_mf_c3;gps,fuel_mf_c4;gps,THC_out_m;gps,THC_in_m;gps,NOx_in_m;gps,NOx_out_m;gps,tot_burned_fuel;gps
0.0,1631.9017,-14.948692,-2.5546172,31.470419,0.58,0.97571164,264.8627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042618,0.0,0.0,0.0,7e-12,0.0,0.0,0.0,0.0,264.8627,266.28342,264.8627,265.81934,264.8627,264.8631,264.8627,264.98553,264.8627,264.95804,264.85226,-2411.2842,-0.84703004,-0.9543107,34.244846,632.42194,0.0,0.0,1.3084226,0.0,15458.223,0.056285888,0.03458351,0.013384407,0.4279213,0.4279636,0.42793533,0.42794943,0.0,0.0,0.0,0.0,1.71176966
0.5,1499.259416666667,110.117628916667,16.77016,31.4859025,0.458218195,0.97571164,264.8627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,1e-11,0.0,0.0,0.0,0.0,267.949715,313.34651,264.827905,263.728876666667,264.8627,264.862535,264.865383333333,264.851851666667,264.864635,264.854843333333,264.804243333333,-757.62363,7.13878804,7.029806973333,62.990370166667,1719.92859,8.192170666667,9.9448305,1.260027566667,227.993647333333,26971.212333333333,0.148626477667,0.052138747167,-0.019993380333,0.39221752,0.390086461667,0.39152282,0.391396383333,0.0,0.0,0.0,0.0,1.565223185
1.0,1265.80826,178.872634,23.7144168,31.5132412,0.234269956,0.97571164,264.8627,0.0122966406,0.00099190082,0.000425409028,0.0,0.0,0.0015808539,0.0034924872,0.0034924872,0.458503108,24.145081,0.0,0.0,2.694389e-05,9.1e-11,4.18e-10,0.000100161648,0.00022155922,6.5478248e-05,284.1385,343.302312,264.639858,261.92892,264.8627,264.85883,264.863226,264.859326,264.863378,264.864312,264.831832,201.870764,11.6012142,11.4190635,95.0711764,2146.94874,9.9986368,10.7571044,1.37750816,99.9262084,38378.992,0.224716156,0.0558868084,0.22357415,0.332359518,0.332401842,0.33237349,0.332387604,0.000387199116,0.0085658283,0.01328854142,0.0,1.329522454
1.5,1067.270025,169.624095,18.97642875,31.5400325,0.2698485,0.97571164,264.8627,0.0429665355,0.003465868825,0.004033618375,0.0,0.0,0.008343969425,0.0184338395,0.0184338395,1.6630642,22.86301075,0.003980365191,6.0299812e-05,0.002611021475,9.1e-11,1.5276e-08,0.00620912245,0.013716872175,0.002945329525,293.95282,337.549525,264.438665,262.9337075,264.8627,264.8544225,264.8623075,264.8565575,264.863535,264.863375,264.8369475,213.3642325,11.36493275,10.82864525,96.3707725,2064.55885,11.55935075,9.90743525,1.415688925,99.9285615,35773.07575,0.15421336,0.04102992925,0.19707463,0.2804632675,0.28050559,0.280477285,0.2804914075,0.02287132415,0.045211648425,0.046432404325,0.004040665003,1.12193755
2.0,1041.3942,162.28244,17.6976382,31.556388,0.26043179,0.97571164,264.8627,0.0396787016,0.0032006578,0.00327592332,0.0,0.0,0.0082910905,0.0183170166,0.0183170166,1.4933217,21.4622226,0.0337206306,3.6015798e-05,0.00353080272,8.4e-11,1.5393e-08,0.0082781344,0.0182883454,0.00347335706,302.035498,341.798454,264.417746,264.070008,264.8627,264.852778,264.861274,264.856018,264.866706,264.864966,264.838896,222.830546,11.2477506,10.3599608,95.1433398,2069.79852,12.0197707,10.0781918,1.39406276,99.924135,32226.587,0.130162472,0.0385883474,0.147902174,0.273845708,0.273854164,0.273848524,0.273851344,0.03003983686,0.0449251237,0.0428793594,0.033756646398,1.09539974
2.5,1041.3942,161.7664175,17.6413635,31.556425,0.23,0.97571164,264.8627,0.03962473425,0.00319630455,0.003764697125,0.0,0.0,0.00824368625,0.01821229,0.01821229,1.439719175,21.3105105,0.0373398145,2.0838771e-05,0.003544515225,8.3e-11,1.4987e-08,0.0082207295,0.018161573,0.00352938515,309.9021425,347.6295575,264.41745,264.2569525,264.8627,264.8516475,264.8604525,264.856215,264.8699625,264.86782,264.8438775,224.406675,11.213916375,10.32701825,95.002149,2079.290825,12.082722375,10.0529765,1.37607935,99.8451175,31423.43725,0.1364774625,0.04146167275,0.13690078,0.27385566,0.27385566,0.27385566,0.27385566,0.02991168765,0.04466826625,0.0428210388,0.037360653271,1.09542264
3.0,1041.3942,161.8475625,17.65021225,31.556425,0.23,0.97571164,264.8627,0.03973285075,0.003205025675,0.00397110145,0.0,0.0,0.00820951125,0.01813679025,0.01813679025,1.383841325,21.33990875,0.03745843275,1.7394871e-05,0.003919098975,8.3e-11,1.4241e-08,0.008236065125,0.0181954405,0.0036553837,316.6670125,353.1010825,264.4274425,264.6806,264.8627,264.8507775,264.859835,264.8556975,264.8719025,264.8693625,264.8458125,226.08755,11.218496125,10.3321985,94.8258825,2078.5873,12.23787725,10.148845,1.33994725,99.0183235,31430.52775,0.1370865425,0.04163692225,0.1369747225,0.27385566,0.27385566,0.27385566,0.27385566,0.030086889325,0.04448309175,0.042937876425,0.037475827621,1.09542264
3.5,1041.3942,161.846478,17.6500946,31.556425,0.23,0.97571164,264.8627,0.039935006,0.00322133244,0.00397985534,0.0,0.0,0.0080733879,0.0178360598,0.0178360598,1.2413115,21.425716,0.0375866918,1.4342764e-05,0.00399073748,8.3e-11,1.2923e-08,0.0081268614,0.0179541838,0.00372910084,324.092924,359.164052,264.484782,265.262812,264.8627,264.850418,264.859132,264.855128,264.873492,264.870452,264.84736,224.606222,11.2136396,10.3321296,93.727454,2076.35614,12.1335448,10.2252974,1.2994807,99.0582418,31436.836,0.13702129,0.0416087638,0.1370181,0.27385566,0.27385566,0.27385566,0.27385566,0.02981014604,0.0437455075,0.04315633844,0.037601034564,1.09542264
4.0,1041.3942,161.84814,17.65027575,31.556425,0.23,0.97571164,264.8627,0.03992105975,0.00322020745,0.00407357325,0.0,0.0,0.00793070725,0.0175208425,0.0175208425,1.180737,21.42714675,0.0377293255,1.1930419e-05,0.003965937175,8.3e-11,1.1797e-08,0.007980179,0.017630136,0.003784004125,331.24439,364.817695,264.5855775,265.891205,264.8627,264.850815,264.85846,264.854815,264.874725,264.8713225,264.84871,223.6265325,11.212177375,10.33223575,93.4691875,2079.7039,12.176335125,10.255319,1.28928955,99.72182125,31433.67775,0.136919055,0.04158193025,0.1369704375,0.27385566,0.27385566,0.27385566,0.27385566,0.029394319125,0.04297239225,0.0431412672,0.037741255919,1.09542264
4.5,1041.3942,161.80907,17.646015,31.556425,0.23,0.97571164,264.8627,0.0398646035,0.0032156535,0.004324572225,0.0,0.0,0.0078789805,0.01740656625,0.01740656625,1.16634175,21.396497,0.03775609,1.0262873e-05,0.0042523614,8.3e-11,1.1252e-08,0.00789986625,0.01745271,0.003851455525,337.33083,369.6237475,264.7130575,266.4907175,264.8627,264.8518975,264.85794,264.8547625,264.8755475,264.871865,264.8497475,223.5248825,11.209306,10.329741375,93.36624225,2083.265325,12.20180525,10.262653375,1.28639085,99.88365,31430.47675,0.136927435,0.04158870975,0.1369699925,0.27385566,0.27385566,0.27385566,0.27385566,0.029204031775,0.042692113,0.043080257,0.037766352873,1.09542264
5.0,1041.3942,161.580688,17.6211094,31.556425,0.23,0.97571164,264.8627,0.039795297,0.00321006288,0.00465467236,0.0,0.0,0.0078416694,0.0173241368,0.0173241368,1.1493631,21.360289,0.0377055526,8.786235e-06,0.00450973456,8.2e-11,1.0944e-08,0.0078550234,0.0173536412,0.00394288456,343.889722,374.738782,264.899024,267.209894,264.862688,264.854058,264.85749,264.855054,264.87624,264.872324,264.85075,223.851632,11.1938269,10.3151618,93.1022732,2084.40832,12.5006066,10.2706186,1.2828072,99.9047702,31426.4636,0.136945744,0.041599586,0.136944932,0.27385566,0.27385566,0.27385566,0.27385566,0.02915154916,0.042489943,0.04300535988,0.037714338835,1.09542264
5.5,1041.3942,161.4857425,17.61075475,31.556425,0.23,0.97571164,264.8627,0.03968739375,0.003201358775,0.0048215757,0.0,0.0,0.00781279525,0.017260347,0.017260347,1.134649675,21.3316465,0.037648705,7.592069e-06,0.004762310675,8.2e-11,1.0735e-08,0.007849233125,0.01734082625,0.0040512342,350.1739275,379.7230825,265.12751,267.973035,264.86267,264.85726,264.8572,264.8556975,264.876735,264.87269,264.851635,224.059565,11.187052625,10.30910025,92.98043375,2087.6004,12.2252945,10.2693255,1.278059925,99.887455,31430.345999999998,0.13710663,0.041643296,0.137063455,0.27385566,0.27385566,0.27385566,0.27385566,0.029241293575,0.04233348925,0.042888752525,0.037656297069,1.09542264
6.0,1041.3942,161.5079825,17.61317975,31.556425,0.23,0.97571164,264.8627,0.03968944325,0.003201524225,0.004968593425,0.0,0.0,0.007750218225,0.01712210025,0.01712210025,1.12324495,21.306528,0.0375473975,6.740571e-06,0.0049136625,8.2e-11,1.0483e-08,0.007772699875,0.01717177175,0.004118388425,355.549125,384.02449,265.368645,268.691225,264.86267,264.8611225,264.85712,264.8567075,264.8770425,264.872905,264.8523125,224.03539,11.188348,10.31052025,92.96125,2089.814825,12.24441575,10.27575475,1.27382355,99.86774,31437.92225,0.1373124075,0.04169573175,0.1372267325,0.27385566,0.27385566,0.27385566,0.27385566,0.02906286005,0.041994418725,0.042890967475,0.037554138071,1.09542264
6.5,1041.3942,161.55266,17.618052,31.556425,0.23,0.97571164,264.8627,0.039641552,0.00319766116,0.0051697948,0.0,0.0,0.00771067332,0.0170347358,0.0170347358,1.10661202,21.280864,0.0375308498,5.899829e-06,0.00509217938,8.2e-11,1.0268e-08,0.0077299294,0.017077274,0.004211195,361.367894,388.693992,265.682704,269.542074,264.86267,264.866716,264.857274,264.858342,264.87728,264.87307,264.85299,223.917654,11.1913543,10.3133721,93.2709816,2093.00904,12.2667219,10.282075,1.27017582,99.8836332,31451.4972,0.137614266,0.0417693382,0.137466998,0.27385566,0.27385566,0.27385566,0.27385566,0.0290183984,0.04178014492,0.04283921316,0.037536749629,1.09542264
7.0,1041.3942,161.502665,17.61259925,31.556425,0.23,0.97571164,264.8627,0.03958926175,0.00319344305,0.005408478125,0.0,0.0,0.007667499025,0.01693935325,0.01693935325,1.09638595,21.251095,0.0374887115,5.204931e-06,0.0052711988,8.2e-11,1.0102e-08,0.007696063575,0.01700245225,0.00430693885,366.969275,393.2199,266.0394625,270.4345075,264.86267,264.873655,264.85772,264.86055,264.8773825,264.87316,264.85361,223.9512525,11.18777975,10.31018025,93.10989525,2096.80365,12.29172725,10.2889715,1.267607425,99.9056935,31470.47825,0.1379572625,0.04184819675,0.137786645,0.27385566,0.27385566,0.27385566,0.27385566,0.029005454675,0.041546205525,0.0427827048,0.037493916431,1.09542264
