Time;s,ICE_Speed;rpm,ICE_Torque;Nm,ICE_Power;kW,fuel_soll;mg,VTG;1,p_amb;bar,T_amb;K,NO_in_m;gps,NO2_in_m;gps,CO_in_m;gps,NH3_in_m;gps,CO2_in_m;gps,Propylene_in_m;gps2,Diesel_vap_in_m;gps,Diesel_vap_ads_in_m;gps,O2_in_m;gps,N2_in_m;gps,NO_out_m;gps,NO2_out_m;gps,CO_out_m;gps,NH3_out_m;gps,CO2_out_m;gps,Propylene_out_m;gps,Diesel_vap_out_m;gps,Diesel_vap_ads_out_m;gps,T_Wall_SCR1;K,T_avg_SCR1;K,T_Wall_DOC;K,T_avg_DOC;K,T_Wall_DPF;K,T_Sub_DPF;K,T_Wall_SCR2;K,T_avg_SCR2;K,T_Wall_SCR3;K,T_avg_SCR3;K,T_Tailpipe;K,ICE_BSFC;bar,ICE_IMEP_720;bar,ICE_BMEP;bar,Cyl_pmax;bar,Cyl_Tmax;K,Cyl_10_90;CA,mfb50;CA,Cyl_Lambda;1,CombEff;perc,Turb_Speed;rpm,Turb_Power;kW,Turb_Torque;Nm,Turb_brake_Power;kW,fuel_mf_c1;gps,fuel_mf_c2;gps,fuel_mf_c3;gps,fuel_mf_c4;gps,THC_out_m;gps,THC_in_m;gps,NOx_in_m;gps,NOx_out_m;gps,tot_burned_fuel;gps
0.0,1121.4196,-22.721418,-2.6682847,69.623924,0.58,1.0958761,262.45062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,7e-12,0.0,0.0,0.0,0.0,262.4506,262.76645,262.4506,262.85025,262.4506,262.45087,262.4506,262.50415,262.4506,262.4983,262.43204,-2262.5103,-0.7457156,-1.4505143,33.271976,608.9786,0.0,0.0,1.0206897,0.0,16086.424,0.03299408,0.019467814,-0.024509426,0.38043776,0.4273979,0.43872672,0.43090084,0.0,0.0,0.0,0.0,1.67746322
0.5,1121.4196,88.085043,10.3442483,69.623924,0.5611823325,1.0958761,262.45062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,7e-12,0.0,0.0,0.0,0.0,262.948645,287.8925825,262.43096,261.653465,262.4506,262.4508225,262.4530325,262.447685,262.452935,262.44866,262.3940925,-1047.3070975,6.392428975,5.62326795,81.88152525,1522.44585,6.09285025,3.69890625,1.081758825,327.9721725,24552.9175,0.092906366,0.03449104675,-0.024874121125,0.3588494575,0.3626757325,0.3600891275,0.3622740075,0.0,0.0,0.0,0.0,1.443888325
1.0,1121.47768,218.862598,25.7035456,69.623924,0.347763956,1.0958761,262.45062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8637098,0.0,0.0,0.0,4.2e-11,0.0,0.0,0.0,5.808e-09,276.225878,343.920706,262.366388,261.865234,262.4506,262.449924,262.451038,262.443766,262.45144,262.45082,262.414586,247.23795,14.9628217,13.971986,111.66882,2221.61622,15.2206138,10.22827,1.31425012,99.9026206,32611.571600000003,0.164686644,0.048098677,0.147849904,0.42989842,0.434099704,0.43271257,0.43239343,5.808e-09,0.0,0.0,0.0,1.729104124
1.5,1125.6853,242.821026,28.6242476,69.623924,0.23,1.0958761,262.45062,0.0491721732,0.0039664428,0.0,0.0,0.0,0.00738017934,0.0163045946,0.0163045946,1.37186778,27.101062,0.002113739614,5.585022e-05,0.0,7.5e-11,8.273e-09,0.00485411222,0.010723606,0.002806467996,295.42675,366.701302,262.285314,261.220722,262.4506,262.447994,262.450096,262.44761,262.451794,262.455118,263.975314,222.655806,16.5466892,15.5014698,118.4902804,2379.5803,13.4770472,11.2115163,1.248608,99.9251682,35181.318400000004,0.238414332,0.06467194,0.21404768,0.442501914,0.443124598,0.443616802,0.441126408,0.018384186216,0.03998936854,0.053138616,0.002169589834,1.770369722
2.0,1131.745325,244.55283,28.9834895,69.623924,0.23,1.0958761,262.45062,0.052029219,0.004196904525,0.0,0.0,0.0,0.007462052725,0.016485473,0.016485473,1.452339575,27.3299695,0.03867002225,0.000129484071,0.0,7.7e-11,8.908e-09,0.007569968325,0.01672389175,0.0043850477,310.723245,378.86717,262.2250975,261.9535825,262.4506,262.4460675,262.449705,262.446,262.4554075,262.4572025,268.5823425,221.623,16.661229,15.612026,119.05085125,2394.303325,13.4677755,11.298139,1.2457493,99.92151125,36833.20925,0.2531299925,0.065601105,0.2407562725,0.446027475,0.44702633,0.4469190575,0.4442992425,0.028678907775,0.040432998725,0.056226123525,0.038799506321,1.784272105
2.5,1136.90476,244.511058,29.1105888,69.623924,0.23,1.0958761,262.45062,0.052355598,0.00422323182,0.0,0.0,0.0,0.00728170312,0.016087037,0.016087037,1.45862486,27.417426,0.0495262898,6.8475934e-05,0.0,7.7e-11,8.65e-09,0.00736081856,0.0162618108,0.0043948751,324.730324,389.200062,262.264994,262.931048,262.4506,262.446086,262.448998,262.444734,262.460864,262.460264,273.252728,221.31733,16.6505176,15.6093596,118.945737,2396.2748,13.4781048,11.265381,1.24762624,99.9243822,37690.3364,0.260299156,0.0659293004,0.252920286,0.446758394,0.448373134,0.448509998,0.445991314,0.02801750446,0.03945577712,0.05657882982,0.049594765734,1.78963284
3.0,1137.708,244.050528,29.076302,69.623924,0.23,1.0958761,262.45062,0.0524345498,0.00422960018,0.0,0.0,0.0,0.00721803096,0.0159463698,0.0159463698,1.45624256,27.392914,0.0496253924,5.0687763e-05,0.0,7.7e-11,8.648e-09,0.00723989812,0.0159946876,0.00443935876,339.08457,399.398556,262.4005,264.145634,262.4506,262.44851,262.448248,262.444562,262.464324,262.462662,278.475438,221.08782,16.6114408,15.5799599,118.8185392,2397.70834,13.5326154,11.2301451,1.24449752,99.925811,38248.2782,0.264196406,0.065942361,0.259920502,0.445598514,0.447473258,0.448151558,0.444448018,0.02767394448,0.03911077056,0.05666414998,0.049676080163,1.785671348
3.5,1137.708,243.2879725,28.98545125,69.623924,0.23,1.0958761,262.45062,0.0524176075,0.00422823365,4.4386714e-05,0.0,0.0,0.0071835285,0.0158701465,0.0158701465,1.40773275,27.35803975,0.049595726,3.9366252e-05,8.658198e-06,7.6e-11,8.553e-09,0.0072035943,0.01591447225,0.0045041197,351.194835,408.1243625,262.60328,265.3457075,262.4506,262.4530925,262.4477525,262.445,262.4663525,262.4633525,282.7986,221.0410125,16.5623875,15.53127925,118.585819,2394.8673,13.675638875,11.193954625,1.239827225,99.9278805,38550.87525,0.26600357,0.06587279,0.263214125,0.44451006,0.4461564125,0.44661582,0.4424326675,0.02762218625,0.0389238215,0.05664584115,0.049635092252,1.77971496
4.0,1137.708,242.47839,28.8889972,69.623924,0.23,1.0958761,262.45062,0.05230352,0.00421903074,0.000299698818,0.0,0.0,0.0071629111,0.0158245966,0.0158245966,1.3868062,27.2880856,0.0495334982,3.1242495e-05,0.000186120165,7.6e-11,8.326e-09,0.0071818941,0.0158665316,0.00457526184,362.629544,416.415342,262.886544,266.632208,262.4506,262.460308,262.447522,262.446544,262.467652,262.463398,286.205274,220.987324,16.5100828,15.4795958,118.4799838,2396.61638,13.6492864,11.1428754,1.23296354,99.928996,38755.1602,0.267303982,0.0658463088,0.265326034,0.44253778,0.445104122,0.444909696,0.440809996,0.02762368754,0.0388121043,0.05652255074,0.049564740695,1.773361594
4.5,1135.8503,241.704014,28.7496374,69.623924,0.23,1.0958761,262.45062,0.0523958282,0.00422647692,0.00072457928,0.0,0.0,0.00707786098,0.015636701,0.015636701,1.32782752,27.226558,0.0494053112,2.4606489e-05,0.000565285626,7.6e-11,7.917e-09,0.00710605612,0.0156989902,0.00461995844,374.60747,424.958108,263.29024,268.14189,262.4506,262.471514,262.447722,262.449528,262.468506,262.463148,289.121342,220.766428,16.429874,15.4301602,118.3461386,2399.51498,13.5643828,11.0838554,1.22482802,99.926611,38913.6614,0.2678321,0.0657080902,0.266745954,0.43937266,0.442560586,0.442391246,0.43872162,0.02742500476,0.03835126298,0.05662230512,0.049429917689,1.763046112
